round,hypothesis_id,source_type,direction,mechanical,self_report_prior,self_report_post,effect_size,verdict,boundary_conditions
5,H-R5-2,DATA-DRIVEN,跨库,0.8750,0.6,0.90,0.3750,SUPPORTED,40 run(>=8点)几乎全为x2_clean; 跨源外推弱(豆包/混元序列点不足); 平台化是x2_clean设计内终态族外证据薄
6,H-R6-1,REVIEW-DRIVEN,机制,0.1681,0.6,0.35,0.1681,INCONCLUSIVE,"5峰h[0.5,1]r[0.15,0.35]间距0.5; trap中位0.8319落在[0.80,0.95)不确定带; 91/100run找到首峰; 中等陷阱未达判定阈(阈值敏感OBL-003)"
6,H-R6-2,REVIEW-DRIVEN,机制,0.6700,0.7,0.5,0.1700,INCONCLUSIVE,"stay0.67差2pp未达0.70; mean_switches0.99存在约一次峰迁移; spearman(h_first,final)=0.5419首峰高度中等决定终值; 首峰锁定半真"
7,H-R7-1,DATA-DRIVEN,证伪,NA,0.55,0.15,NA,INCONCLUSIVE,41合格run全部|gain|>=0.1(小增益层n=0)——天花板效应在现有档案内不可检验; 演化世界总增益普遍>=0.1本身是结构事实
7,H-R7-2,DATA-DRIVEN,证伪,NA,0.45,0.15,NA,INCONCLUSIVE,其他源(豆包/混元)>=8点run=0; 平台化证据40/40全来自x2_clean+1个x1_static(静态构造性)——R5-H2跨族性实质不成立为单族结论
8,H-R8-1,LIT-REPLICATE,机制,0.7009,0.75,0.90,0.2252,SUPPORTED,平坦二次世界sigma0.08/m0.05双独立评估门; rate0.2991贴0.30阈(理论预测约0.27); 采纳量331vs单阶段639两阶段天然减半采纳机会; E13/E7复现成立
8,H-R8-2,LIT-REPLICATE,机制,0.7984,0.55,0.85,0.0417,SUPPORTED,终值0.7984非劣且优于单阶段+0.0417与margin0.15+0.0336; 两阶段双轴占优——头对头扩展(档案无此比较)
9,H-R9-1,DATA-DRIVEN,边界,0.6628,0.55,0.90,-0.0136,SUPPORTED,尖峰r0.15两阶段终值0.3372<0.40(且略低于单阶段0.3508); 收敛30%->20%——压假采纳=压荒漠游走=压发现; R8两阶段优势不跨景观
9,H-R9-2,DATA-DRIVEN,边界,0.4601,0.7,0.90,0.2229,SUPPORTED,rate0.7628->0.5399门控机制跨景观保真; 荒漠假采纳意外具备探索功能(缺陷即功能的边界证据)
10,H-R10-1,NARRATIVE-DRIVEN,机制,NA,0.65,0.10,NA,INCONCLUSIVE,尖峰世界峰顶n=20缓坡n=24<30守卫; 观察排序缓坡0.083<峰顶0.20<荒漠0.801——与预注册单调序不符(谷形)
10,H-R10-2,NARRATIVE-DRIVEN,机制,0.5333,0.65,0.05,0.5333,REFUTED,平坦世界n充足(峰293/坡65/漠281): 缓坡0.015<<峰顶0.321<荒漠0.854——U形非单调; 真定律=局部梯度vs噪声信噪比; 峰顶=平坦顶部=局部无信号; 叙事峰顶门控完美仅对窄高斯峰成立
11,H-R11-1,REVIEW-DRIVEN,机制,0.7346,0.7,0.90,0.7346,SUPPORTED,平坦世界n=267/85/287; 低0.8914>中0.6118>高0.1568严格单调(gaps0.28/0.46); 梯度律统一U形——低梯度=峰顶∪荒漠两处
11,H-R11-2,REVIEW-DRIVEN,机制,NA,0.6,0.65,NA,INCONCLUSIVE,尖峰mid带n=18<30守卫; 观察方向一致0.83>0.50>0.17; 窄峰可驻留区小致mid事件稀少
12,H-R12-1,DATA-DRIVEN,证伪,0.6882,0.35,0.05,0.6882,REFUTED,"A套(0.05/0.30)0.895>0.794>0.207; B套(0.15/0.70)0.894>0.418>0.116两套严格单调各带n>=30; 红队失败=定律对带边界鲁棒; 注:prereg的mechanical对齐注释与公式语义反了(gap大=定律强=红队败),公式为准"
12,H-R12-2,DATA-DRIVEN,跨库,0.6876,0.7,0.90,0.6876,SUPPORTED,池化两世界0.848>0.592>0.160 n=939/103/356全带充足; 跨世界梯度单调律成立(mid带池化跨过守卫)
