L_level,mech_id,mech_name,cell_status,basis
L5,MECH-25,hardened doctor 截断检出,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-26,展示通道切除,已实现且已验,自有层（phase7 定级）+ registry active
L1,MECH-26,展示通道切除,因果不可达,写路径半序：向上不可达（guide §一.2）
L2,MECH-26,展示通道切除,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-26,展示通道切除,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-26,展示通道切除,已实现且已验,展示通道切除关闭自我美化悬案（E81，R2-T2-1）——通道类向上
L5,MECH-26,展示通道切除,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-27,噪声×margin 相图,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-27,噪声×margin 相图,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-27,噪声×margin 相图,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-27,噪声×margin 相图,已实现存疑,自有层（phase7 定级）+ registry active
L4,MECH-27,噪声×margin 相图,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-27,噪声×margin 相图,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-28,两阶段门控噪声版,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-28,两阶段门控噪声版,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-28,两阶段门控噪声版,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-28,两阶段门控噪声版,计划中,自有层（phase7 定级）+ registry unknown
L4,MECH-28,两阶段门控噪声版,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-28,两阶段门控噪声版,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-29,判断样本近因加权,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-29,判断样本近因加权,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-29,判断样本近因加权,被证伪后放弃,主实现已证伪（registry refuted）
L3,MECH-29,判断样本近因加权,被证伪后放弃,主实现已证伪（registry refuted）
L4,MECH-29,判断样本近因加权,已证伪,自有层（phase7 定级）+ registry refuted
L5,MECH-29,判断样本近因加权,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-30,层次化归并,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-30,层次化归并,已证伪,自有层（phase7 定级）+ registry refuted
L2,MECH-30,层次化归并,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-30,层次化归并,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-30,层次化归并,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-30,层次化归并,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-31,1/5 规则自适应步长,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-31,1/5 规则自适应步长,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-31,1/5 规则自适应步长,被证伪后放弃,主实现已证伪（registry refuted）
L3,MECH-31,1/5 规则自适应步长,已证伪,自有层（phase7 定级）+ registry refuted
L4,MECH-31,1/5 规则自适应步长,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-31,1/5 规则自适应步长,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-32,回滚,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-32,回滚,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-32,回滚,已证伪,自有层（phase7 定级）+ registry refuted
L3,MECH-32,回滚,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-32,回滚,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-32,回滚,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-33,简单恢复解冻,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-33,简单恢复解冻,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-33,简单恢复解冻,已证伪,自有层（phase7 定级）+ registry refuted
L3,MECH-33,简单恢复解冻,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-33,简单恢复解冻,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-33,简单恢复解冻,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-34,跨库迁移,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-34,跨库迁移,已证伪,自有层（phase7 定级）+ registry refuted
L2,MECH-34,跨库迁移,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-34,跨库迁移,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-34,跨库迁移,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-34,跨库迁移,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-35,margin 自标定,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-35,margin 自标定,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-35,margin 自标定,被证伪后放弃,主实现已证伪（registry refuted）
L3,MECH-35,margin 自标定,被证伪后放弃,主实现已证伪（registry refuted）
L4,MECH-35,margin 自标定,已证伪,自有层（phase7 定级）+ registry refuted
L5,MECH-35,margin 自标定,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-36,按成分拒绝,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-36,按成分拒绝,已证伪,自有层（phase7 定级）+ registry refuted
L2,MECH-36,按成分拒绝,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-36,按成分拒绝,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-36,按成分拒绝,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-36,按成分拒绝,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-37,剔除矛盾样本,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-37,剔除矛盾样本,已证伪,自有层（phase7 定级）+ registry refuted
L2,MECH-37,剔除矛盾样本,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-37,剔除矛盾样本,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-37,剔除矛盾样本,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-37,剔除矛盾样本,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-38,元参数开放演化,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-38,元参数开放演化,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-38,元参数开放演化,被证伪后放弃,主实现已证伪（registry refuted）
L3,MECH-38,元参数开放演化,被证伪后放弃,主实现已证伪（registry refuted）
L4,MECH-38,元参数开放演化,已证伪,自有层（phase7 定级）+ registry refuted
L5,MECH-38,元参数开放演化,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-39,逐参数独立调优,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-39,逐参数独立调优,被证伪后放弃,主实现已证伪（registry refuted）
L2,MECH-39,逐参数独立调优,被证伪后放弃,主实现已证伪（registry refuted）
L3,MECH-39,逐参数独立调优,已证伪,自有层（phase7 定级）+ registry refuted
L4,MECH-39,逐参数独立调优,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-39,逐参数独立调优,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-40,权重上界,被证伪后放弃,主实现已证伪（registry refuted）
L1,MECH-40,权重上界,已证伪,自有层（phase7 定级）+ registry refuted
L2,MECH-40,权重上界,因果不可达,写路径半序：向上不可达（guide §一.2）
L3,MECH-40,权重上界,因果不可达,写路径半序：向上不可达（guide §一.2）
L4,MECH-40,权重上界,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-40,权重上界,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-41,复合灾难护栏负交互,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-41,复合灾难护栏负交互,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-41,复合灾难护栏负交互,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-41,复合灾难护栏负交互,已实现存疑,自有层（phase7 定级）+ registry unknown
L4,MECH-41,复合灾难护栏负交互,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-41,复合灾难护栏负交互,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-42,相关噪声击穿双门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-42,相关噪声击穿双门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-42,相关噪声击穿双门,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-42,相关噪声击穿双门,已实现存疑,自有层（phase7 定级）+ registry unknown
L4,MECH-42,相关噪声击穿双门,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-42,相关噪声击穿双门,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-43,欺骗地形戏剧性分离,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-43,欺骗地形戏剧性分离,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-43,欺骗地形戏剧性分离,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-43,欺骗地形戏剧性分离,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L4,MECH-43,欺骗地形戏剧性分离,已实现存疑,自有层（phase7 定级）+ registry unknown
L5,MECH-43,欺骗地形戏剧性分离,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-44,记忆×法层共演化,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-44,记忆×法层共演化,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-44,记忆×法层共演化,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-44,记忆×法层共演化,已实现存疑,自有层（phase7 定级）+ registry unknown
L4,MECH-44,记忆×法层共演化,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-44,记忆×法层共演化,因果不可达,写路径半序：向上不可达（guide §一.2）
L0,MECH-45,良性环境护栏增益,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L1,MECH-45,良性环境护栏增益,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L2,MECH-45,良性环境护栏增益,空白-没人做过,写路径向下可及但无验证记录（guide §一.3 默认）
L3,MECH-45,良性环境护栏增益,已实现且已验,自有层（phase7 定级）+ registry active
L4,MECH-45,良性环境护栏增益,因果不可达,写路径半序：向上不可达（guide §一.2）
L5,MECH-45,良性环境护栏增益,因果不可达,写路径半序：向上不可达（guide §一.2）
