from_id,to_id,relation,anchor,evidence_quote,INFERRED,inferred_reason
SIM-E93,SIM-E64,supersedes,大审查/混元/bootstrap_自演化推演_第二十轮.md:50,修正 E64 的门槛**：150 → **300**（judge 可被操纵时的现实值,no,E93 修正 E64 的注意力门槛：150 → 300（judge 可被操纵时的现实值）
SIM-E95,SIM-E87,replicates,大审查/混元/bootstrap_自演化推演_第二十轮.md:90,盲评有效**：开启后从 −0.0035 变 +0.0127。这是 E87 在真实世界的复现,no,盲评开启后 −0.0035 → +0.0127，是 E87 在真实世界的复现
SIM-E95,SIM-E55,contradicts,大审查/混元/bootstrap_自演化推演_第二十轮.md:98,tol 与 E55 矛盾**：tol=0.15（宽松）最好 +0.0412，tol=0.04 最差 +0.0127。E5,no,tol 与 E55 矛盾：tol=0.15（宽松）最好 +0.0412，而 E55 推荐 0.02–0.06
SIM-E105,SIM-E97b,supersedes,大审查/混元/bootstrap_自演化推演_第二十二轮.md:153,修正 E97b / 修正 68**：审计的收益**不是无条件的**，它依赖变异幅度,no,E105 修正 E97b：审计的收益不是无条件的，它依赖变异幅度
SIM-E115,SIM-E108,contradicts,大审查/混元/bootstrap_自演化推演_第二十四轮.md:131,这与 E108（单一污染世界 v4-B +0.151 >> v4-A +0.064）**完全相反,no,E115 复合世界 v4-B +0.053 < v4-A +0.069，与 E108（单一污染世界 v4-B 远大于 v4-A）完全相反
SIM-E125,SIM-E112,replicates,大审查/混元/P0验证_展示权重爆炸.md:33,"回退 0 次而 surf 已到 11.4** —— E112 的""审计没拦住""复现",no,E112 的'审计没拦住'复现：回退 0 次而 surf 已到 11.4
SIM-E125,SIM-E112,supersedes,大审查/混元/P0验证_展示权重爆炸.md:6,现象真实，但定性需要重大修正。解药不是新机制，而是已有的盲评,no,现象真实但定性需重大修正：解药不是新机制，而是已有的盲评
SIM-WEB-E132,SIM-E27,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:47,回滚后停止是最差策略**（t=−5.76）——E27 说它略好,no,网页端 E132：回滚后停止是最差策略（t=−5.76）——E27 说它略好
SIM-WEB-E133,SIM-E27,supersedes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:130,"E27""可回滚不是主要应对"" | **反了：它是 corrupt 下最强的单一机制",no,E27'可回滚不是主要应对'——反了：corrupt 下它是最强的单一机制
SIM-WEB-R28,SIM-R28,refutes,大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:153,三条全错，其中两条方向相反,no,网页端 44 对重测本地第二十八轮：三条阴性结论全错，其中两条方向相反（2a 已撤回）
KB-TASK-024,SIM-R28,supersedes,knowledge/trajectories/2026-09-09/task-024-混元实验接手.md:32,撤回：本地报告 2a「rollback 无收益稳健」（基于被否的 exp27 缺陷实现，44 种子只是噪声镀金）,no,接手复核撤回本地报告 2a'rollback 无收益稳健'（基于被否的 exp27 缺陷实现，44 种子只是噪声镀金）
KB-TASK-024,SIM-E131,replicates,knowledge/trajectories/2026-09-09/task-024-混元实验接手.md:12,P0-1 strict 反转（漂移下有害 t=−2.60）；P0-2 回滚分臂（rollback_then_evolve,yes,机械推断链：E131=strict 审计从'无效'改判'漂移下有害'（28轮:17）；task-024 复跑 P0-1 strict 反转 t=−2.60，证实该改判
KB-TASK-024,SIM-WEB-E133,replicates,knowledge/trajectories/2026-09-09/task-024-混元实验接手.md:30,回退价值取决于退化原因且符号相反（corrupt +0.179 t=9.14 / drift −0.080 t=−4.5,no,接手复跑证实：回退价值取决于退化原因且符号相反（corrupt +0.179 t=9.14 / drift −0.080 t=−4.52）
SIM-SUM14,SIM-SUM,supersedes,大审查/混元/自演化推演_实验总报告-14轮后.md:3,66 个实验** + 3 个架构原型 + **17 次实验设计失败记录** + **14 次自我推翻,yes,版本链机械推断：总报告初版（SIM-SUM）→14轮后版（66 实验/14 次推翻），轮数口径后者更高（1-版本谱系§三：版本号最高者优先）
SIM-SUM23,SIM-SUM14,supersedes,大审查/混元/自演化推演_实验总报告23轮后.md:3,110 个实验** + 3 个架构原型 + **21 次实验设计失败记录** + **20 次自我推翻,yes,版本链机械推断：14轮后（66 实验）→23轮后（110 实验/20 次推翻），同链递进
SIM-SUM25,SIM-SUM23,supersedes,大审查/混元/自演化推演_实验总报告25轮后.md:3,120 个实验** + 3 个架构原型 + **21 次实验设计失败记录** + **23 次自我推翻,yes,版本链机械推断：23轮后（110 实验）→25轮后（120 实验/23 次推翻），同链递进
SIM-WO-V39,SIM-WO-V38,supersedes,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:15,消掉 P0-4（并发丢更新 92%）与一个此前未发现的安全硬伤（截断攻击检不出）,yes,工单版本链机械推断：v3.8 修复工单（33 张 BUG/ARCH）→v3.9 重构工单集；v3.9 以消掉 P0-4（并发丢更新 92%）为目标
DS-R1-1,SIM-E16,replicates,大审查/deepseek/结果_R1-1_reward切换与灾难性遗忘.md:22,Pareto 历史档案防遗忘判别成立（6/6）**：pareto 当前输出同样追 B(uA_mainline=0)，但其,no,Pareto 历史档案防遗忘判别成立（6/6）——E16 灾难性遗忘/Pareto 缓解结论复现
DS-R1-1,DS-H3,supersedes,大审查/deepseek/结果_R1-1_reward切换与灾难性遗忘.md:23,"H3 状态更新**：从""场景未达判别条件""升级为**判别条件成立且 Pareto 收益实证**（reward-form ",no,H3 状态更新：从'场景未达判别条件'升级为判别条件成立且 Pareto 收益实证
DS-R1-1,DS-DESIGN,supersedes,大审查/deepseek/结果_批次R1_超详尽大报告.md:42,判别条件=奖励形式切换（非权重域内换目标）+ 基因双向激活 + 档案保留历史。设计文档 F3 相应改判：**PASS（条,no,设计文档 F3 相应改判：PASS（条件满足时）
DS-R1-2,SIM-E81,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:66,同源门控退化**：晋升门金标=judge 时 bare==gatedJ-noAudit（门没有独立信息 → 退化为无门）,no,晋升门金标=judge 时门退化为无门——E81'同源评审失效'在复合场景的复现
DS-R1-3,SIM-REPORT,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:19,v3 两 P0 复现：并发 append accum=55/60（丢更新）；审计截断后链连续+根自洽（密码学静默）——完,yes,机械推断链：v3 两 P0（并发 accum 55/60、截断链/根静默）复现——P0 清单属混元总报告代码审查（'报告'按 DS 线引用口径解析为 17 轮后总报告 SIM-REPORT）
DS-P3,SIM-E81,replicates,大审查/deepseek/结果_探针3_judge通道污染.md:22,"E81 复现**：锚定集/锚定审计若来自同一个被表象污染的 judge（""judge 自洽性""检查），**0 次触发",no,E81 复现：锚定集/锚定审计来自同一个被表象污染的 judge 时 0 次触发
DS-P3,SIM-E81c,replicates,大审查/deepseek/结果_探针3_judge通道污染.md:23,E81c 复现**：周期性真值抽样(独立 rv 通道)在漂移后**≤3 代内检出并回退,no,E81c 复现：周期性真值抽样（独立 rv 通道）在漂移后 ≤3 代内检出并回退
DS-P6,SIM-E80,refutes,大审查/deepseek/结果_结项总报告_完整版.md:209,E80 的护栏负交互（v4<v3）未复现**（归因：单一主导改进采纳机会少 + 晋升门 hold=真值较 v4 保守 +,no,E80 护栏负交互（v4<v3）未复现，归因：单一主导改进+晋升门保守+审计 0 触发
DS-P1,SIM-E16,contradicts,大审查/deepseek/结果_结项总报告_完整版.md:121,"机制发现 M2**：单参数、顺序保持的权重空间无法表达""改进 A 伤害 B""的参数冲突；要触发遗忘需 judge 通道不",no,机制发现 M2：单参数顺序保持权重空间无法表达'改进A伤害B'的参数冲突——与 E16 参数冲突式遗忘机制表述相抵（需 judge 通道不随域更新才触发）
DS-BATCH-R1,SIM-E16,replicates,大审查/deepseek/交接包_零损失/doc/batch_r1/结果_批次R1_超详尽大报告.md:43,Pareto 历史档案防遗忘 6/6：当前输出同样追 B，但档案保留 A 权衡方向（bestA=1.0）——E16 的 ,no,Pareto 防遗忘 6/6（bestA=1.0）——E16 的 0.719 vs 0.547 在本检索空间复现
DS-BATCH-R1,SIM-E81,replicates,大审查/deepseek/交接包_零损失/doc/batch_r1/结果_批次R1_超详尽大报告.md:68,"晋升门金标=judge 时 bare==gatedJ-noAudit（门没有独立信息 → 退化为无门）——E81""同源评",no,晋升门金标=judge 时 bare==gatedJ-noAudit——E81 同源评审失效在复合场景复现
DS-BATCH-R2,SIM-E57,replicates,大审查/deepseek/交接包_零损失/doc/batch_r2/结果_批次R2_超详尽大报告.md:28,**E57 剂量化复现**：相关噪声(共享偏差)侵蚀门控的信息优势——corr 0→1 时 gated−bare 从 +,no,E57 剂量化复现：corr 0→1 时 gated−bare 从 +0.028 单调降到 0（完全共享偏差时同化）
DS-R2-N2,SIM-E57,replicates,大审查/deepseek/交接包_零损失/doc/batch_r2/结果_R2-N2_相关噪声剂量.md:17,**E57 以剂量形式复现**：引擎可见真值越接近名义(与 judge/spur 相关)，双门(晋升 hold=污染真值,no,E57 以剂量形式复现：相关噪声（共享偏差）侵蚀门控的信息优势
DS-PROBE6,SIM-E80,refutes,大审查/deepseek/交接包_零损失/doc/结果_探针6_复合危险.md:19,**E80 的护栏负交互（v4 劣于 v3）未复现**，原因（诚实归因）：,no,E80 的护栏负交互（v4 劣于 v3）未复现（诚实归因）；H9 处置为增益有限、无额外伤害
DS-REPORT,SIM-E80,refutes,大审查/deepseek/对外完整版总报告_v3.0.0.md:123,E80 负交互未复现（需更强复合+污染晋升门+采纳密集，已留证,no,E80 负交互未复现（需更强复合+污染晋升门+采纳密集，已留证）
DS-REPORT,DS-H3,supersedes,大审查/deepseek/对外完整版总报告_v3.0.0.md:102,除 F3(H3)外全 PASS；F3 改判：判别条件成立时 PASS,no,F3 改判：判别条件成立时 PASS
DS-REPORT,SIM-E81,motivated_by,大审查/deepseek/对外完整版总报告_v3.0.0.md:126,无法同源自证（E81）→ 独立真值抽样+异质标注；无法自知失败（E78）→ 双通道 gap/τ 统计；自主性有注意力门槛,no,不可能性回应：无法同源自证（E81）→独立真值抽样+异质标注
DS-REPORT,SIM-E78,motivated_by,大审查/deepseek/对外完整版总报告_v3.0.0.md:126,无法同源自证（E81）→ 独立真值抽样+异质标注；无法自知失败（E78）→ 双通道 gap/τ 统计；自主性有注意力门槛,no,不可能性回应：无法自知失败（E78）→双通道 gap/τ 统计
DS-REPORT,SIM-E64,motivated_by,大审查/deepseek/对外完整版总报告_v3.0.0.md:126,无法同源自证（E81）→ 独立真值抽样+异质标注；无法自知失败（E78）→ 双通道 gap/τ 统计；自主性有注意力门槛,no,不可能性回应：自主性有注意力门槛（E64/H8）→预算账本，不足即关
DS-FINAL,SIM-E81,replicates,大审查/deepseek/交接包_零损失/doc/结果_结项总报告_完整版.md:160,E81 复现：锚定审计来自被污染的同源 judge（自洽性检查）→ **0 次触发**，自报 0.67→0.77、真值在,no,E81 复现：同源 judge 锚定审计 0 次触发，自报 0.67→0.77 而真值变差
DS-FINAL,SIM-E81c,replicates,大审查/deepseek/交接包_零损失/doc/结果_结项总报告_完整版.md:161,E81c 复现：周期性真值抽样 **≤3 代检出并回退**（5/8 种子触发），真值终局=static、w_show 拉,no,E81c 复现：周期性真值抽样 ≤3 代检出并回退（5/8 种子触发）
DS-FINAL,SIM-E80,refutes,大审查/deepseek/交接包_零损失/doc/结果_结项总报告_完整版.md:212,**E80 的护栏负交互（v4<v3）未复现**（归因：单一主导改进采纳机会少 + 晋升门 hold=真值较 v4 保守,no,E80 护栏负交互未复现（单一主导改进采纳机会少+晋升门 hold=真值较保守+审计 0 触发）
DS-STAT-PROTO,SIM-E81,replicates,大审查/deepseek/交接包_零损失/doc/结果_统计协议_full.md:33,"结论：**检索权重单参数空间里""裸演化自报膨胀""是窗口性的**；能在任意水平稳定复现自报-真值分歧的机制需要""可演化的展",no,能在任意水平稳定复现自报-真值分歧的机制需要'可演化的展示通道'（=探针 3 的 E81）
DS-HANDOVER-PKG,SIM-E80,extends,大审查/deepseek/交接包_零损失/00_交接文档_零损失.md:187,边界声明（勿越界推广）：E80 负交互需更强复合+污染晋升门+采纳密集才可能触发；相关噪声需完全共享偏差才同化(异质源是,no,边界声明（勿越界推广）：E80 负交互需更强复合+污染晋升门+采纳密集才可能触发
DS-HANDOVER-PKG,SIM-REPORT,replicates,大审查/deepseek/交接包_零损失/00_交接文档_零损失.md:77,并发 append accum 55/60(丢更新 P0-4 复现)；截断审计尾+重算根 → 链连续/根自洽(密码学静默,yes,机械推断链：并发 append accum 55/60（丢更新 P0-4 复现）+截断审计尾后链连续/根自洽——P0 清单属混元总报告（解析为 17 轮后口径 SIM-REPORT）
DS-SUM-V2,DS-FINAL,supersedes,大审查/deepseek/交接包_零损失/doc/报告版本索引.md:18,| **v2.0.0** | 滚动总报告_v2.0.0.md | 2026-09-09 | 合成卷：合并 v1.0-1.,no,报告版本索引：v2.0.0 滚动总报告合并 v1.0-1.3 全部结论（DS-FINAL=v1.0.0 结项总报告）
DS-SUM-V31,DS-SUM-V2,supersedes,大审查/deepseek/交接包_零损失/doc/报告版本索引.md:16,| **v3.1.0** | 对外完整版总报告_v3.1.0.md / .html | 2026-09-09 | **对,yes,版本链机械推断：v2.0.0 滚动总报告 → v3.1.0 对外完整版（完整档案版），版本号最高者优先
REAL-X0,SIM-REPORT,replicates,大审查/衔尾蛇/reports/X0_环境自检与等价性.md:11,"**复现源码 P0-1**：71 个自测只跑 9 个即静默中止（rc=1），与报告""第 10 个用例中止""分毫不差",yes,机械推断链：复现源码 P0-1（71 自测只跑 9 即静默中止 rc=1）——P0 清单属混元总报告代码审查（衔尾蛇线以 17 轮后版为检验对象，解析为 SIM-REPORT）
REAL-X0,SIM-E1,replicates,大审查/衔尾蛇/reports/X0_环境自检与等价性.md:29,基线低不是 bug，是演化空间,no,演化自修复方向（降 w_imp/w_age、开 filter_zero）与报告 E1 预测一致
REAL-X1,SIM-REPORT,replicates,大审查/衔尾蛇/reports/X1_静态基线.md:3,三探针全部复现报告代码审查的预测：并发丢更新 75%、截断攻击密码学层全盲、绕过引擎编辑被 doctor 当场抓住,no,三探针全部复现报告代码审查的预测：并发丢更新 75%、截断攻击密码学层全盲、绕过引擎编辑被 doctor 抓
REAL-X2c,SIM-E16,replicates,大审查/衔尾蛇/reports/X2bcd_防作弊遗忘重组.md:25,遗忘的量级是**目标冲突强度的函数**，这是对 E16 的边界细化,no,方向复现（Pareto 免疫、单一受损），效应量随冲突强度放大，但比 E16 的 0.547 vs 0.719 温和
REAL-X3,SIM-E14,replicates,大审查/衔尾蛇/reports/X3_危险矩阵.md:3,事件溯源内核四项全胜 v3 状态机。,no,报告 E14 的最深发现在真引擎完整复现：评判者被腐蚀时门控与无门控行为一致（8/8 vs 8/8）、内部指标全绿
REAL-X3,SIM-E3,refutes,大审查/衔尾蛇/reports/X3_危险矩阵.md:3,事件溯源内核四项全胜 v3 状态机。,no,伪特征危险（E3）在检索域未复现（机制诊断清楚，结构性免疫）
REAL-X3,SIM-E57,refutes,大审查/衔尾蛇/reports/X3_危险矩阵.md:37,"相关噪声未复现 E57 的""击穿双门""（−50% 级）",no,相关噪声未复现 E57 的'击穿双门'（−50% 级）
REAL-X3,REAL-PLAN,refutes,大审查/衔尾蛇/reports/总报告.md:28,评判者腐蚀通道复现 E14 核心：门控与无门控行为一致（8/8 vs 8/8）、内部全绿；锚定审计 8/8 检出 |,yes,机械推断链：H2 门控必要性按预注册口径证伪——H1/H2 矩阵预注册于规划书 v1.1（REAL-PLAN:49 对照组矩阵）
REAL-X3c,SIM-E80,refutes,大审查/衔尾蛇/reports/总报告.md:99,伪特征通道不咬合，实质为双危险 |,no,E80 护栏负交互未复现：G4 +1.2367 ≥ G2 +1.1867
REAL-X5,SIM-E14,replicates,大审查/衔尾蛇/reports/总报告.md:100,E14 方向第三度复现 |,no,评判者腐蚀（高宣称词偏好代理）下 G2 与 G4 行为仍一致——E14 方向第三度复现
REAL-X6,SIM-REPORT,motivated_by,大审查/衔尾蛇/reports/总报告.md:112,「发明新启发式 0/3，测量已有可观测量 3/3」——17 轮报告总法则的第六次独立验证,yes,机械推断链：'发明新启发式 0/3 vs 测量已有可观测量 3/3'——17 轮报告总法则的第六次独立验证（法则出处解析为 SIM-REPORT）
REAL-X6c,SIM-E32,refutes,大审查/衔尾蛇/reports/第三轮_X6_库内容推演.md:41,"实测派生连""备选默认值""都不合格，只能作为大规模交互后的叠加信号",no,E32 未在真实小库复现，且方向反转
REAL-W3,REAL-X0,replicates,大审查/衔尾蛇/reports/v3.9_法层参数与引擎修复工单.md:43,71 个自测只跑 9 个即静默退出（rc=1），本沙盒 X0-S2 复现。,no,71 个自测只跑 9 个即静默退出（rc=1），本沙盒 X0-S2 复现
REAL-TREE-ZC,SIM-E2,replicates,大审查/zcode/自演化实验总树与总报告-全轮次.md:45,纯贪婪（w_imp=10/100）连 G2 最宽门都进不去；w_imp 扫描单调不升 → E2 复现,no,纯贪婪（w_imp=10/100）连 G2 最宽门都进不去、w_imp 扫描单调不升——E2 复现
REAL-TREE-ZC,SIM-E16,replicates,大审查/zcode/自演化实验总树与总报告-全轮次.md:47,单一 0.981，差距随冲突系数 0.08→0.25 放大（0.9pp→2.1pp）——E16 方向复现+边界细化,no,单一 0.981，差距随冲突系数 0.08→0.25 放大——E16 方向复现+边界细化
REAL-TREE-ZC,SIM-E7,refutes,大审查/zcode/自演化实验总树与总报告-全轮次.md:57,真引擎仅浅谷（6/8），strict 7/8 自愈——E7 戏剧性分离是人工地形产物,no,E7 戏剧性分离是人工地形产物：真引擎仅浅谷（6/8），strict 7/8 自愈
REAL-TREE-ZC,SIM-E57,refutes,大审查/zcode/自演化实验总树与总报告-全轮次.md:56,相关噪声未击穿双门（E57 未复现，构造强度不足如实登记）,no,相关噪声未击穿双门（E57 未复现，构造强度不足如实登记）
REAL-TREE-ZC,SIM-E80,refutes,大审查/zcode/自演化实验总树与总报告-全轮次.md:62,E80 护栏负交互未复现（G4 +1.2367 ≥ G2 +1.1867）,no,E80 护栏负交互未复现（G4 +1.2367 ≥ G2 +1.1867）
REAL-TREE-ZC,SIM-REPORT,motivated_by,大审查/zcode/自演化实验总树与总报告-全轮次.md:131,17 轮（12 条证伪）+ 衔尾蛇 R5（0/3 vs 3/3）= **第 6 次独立验证**,yes,机械推断链：17 轮（12 条证伪）+衔尾蛇 R5（0/3 vs 3/3）=总法则第 6 次独立验证（法则出处解析为 SIM-REPORT）
REAL-总树,SIM-E14,replicates,knowledge/trajectories/2026-09-08/task-020-自演化沙盒.md:6,232 run，H1 在 24 种子坐实（+1.22，24/24 正），E14 门控盲区复现，锚定审计升 P0，伪特征危,no,232 run：H1 24 种子坐实（+1.22），E14 门控盲区复现，锚定审计升 P0
REAL-总树,SIM-REPORT,motivated_by,knowledge/trajectories/2026-09-08/task-020-自演化沙盒.md:36,新启发式 0/3 vs 测量已有量 3/3，总法则第六次独立验证,yes,机械推断链：新启发式 0/3 vs 测量已有量 3/3——总法则第六次独立验证（17 轮报告口径）
REAL-TREE-ZC,REAL-TREE-SNAP,supersedes,大审查/zcode/自演化实验总树与总报告-全轮次.md:98,门控必要性（伪特征通道） | R3/R5 | **✗ 证伪**,yes,版本链机械推断：总树 zcode 现行版（REAL-TREE-ZC，持续修订）取代衔尾蛇 attic 冻结快照副本（REAL-TREE-SNAP，2026-09-09 冻结、副本不回灌）
REAL-WO-V39-ZC,REAL-WO-V39-SNAP,supersedes,大审查/zcode/v3.9_法层参数与引擎修复工单.md:92,law_filter_zero 默认回撤为 0，降级为可选项**；修订版（sha256 前 16 位 c265530d）,yes,版本链机械推断：v3.9 工单 zcode 版（含 W-1 默认值被真实库否决→修订版 c265530d、filter_zero 默认回撤 0）取代 attic 冻结快照版
REAL-ACCEPT-HY,SIM-HANDOVER,replicates,大审查/衔尾蛇/attic/衔尾蛇副本-冻结快照-20260909/reports/混元交接验收报告.md:10,"✅ 交接无损 —— 可以开始工作""；内核 PASS 27 / FAIL 0",no,衔尾蛇线对混元交接包独立复核：交接无损——内核 PASS 27 / FAIL 0（独立复核 10/10）
SIM-HANDOVER-ACCEPT,SIM-HANDOVER,replicates,大审查/混元/混元交接验收报告-衔尾蛇线验收.md:33,独立收敛点 | 两级门控/锚定不衰减/实测重要度/停摆=零采纳/预算门槛 | 同左（真引擎复现）,no,独立收敛点（两级门控/锚定不衰减/实测重要度/停摆=零采纳/预算门槛）——同左（真引擎复现）
DEPLOY-V39,REAL-X5,contradicts,knowledge/trajectories/2026-09-08/task-020-自演化沙盒.md:45,filter_zero=1 首应用 recall@5 劣化 0.485→0.394（真实查询有零词法交叠金标，impor,no,filter_zero=1 首应用 recall@5 劣化 0.485→0.394（真实查询有零词法交叠金标），默认回撤为 0——与 X5'唯一双世界复现参数结论'的强形式相抵
R2A-T2-1,SIM-E81,replicates,大审查/zcode/progress.md:18,T2-1：E81 复现（w_show 2.256 / P 0.79 / T −0.119）＋通道切除判据①满足、②未触发,no,T2-1：E81 复现（w_show 2.256 / 自报 P 0.79 / 真值 T −0.119），'自我美化无解'悬案关闭
R2A-T1-1,SIM-E121,refutes,大审查/zcode/progress.md:19,α 梯度两构造未复现 → 收线；复现 writalloc 不漂移,no,E121 α 梯度两构造均未复现（Δ=0.005/0.002 皆塌缩）→按纪律收线
R2A-T3-1,DS-P1,replicates,大审查/zcode/批次R2-A报告.md:16,护栏代价符号随**世界改进结构**翻转——clean 世界复现 deepseek 负代价（**−0.0625，与 dee,no,clean 世界复现 deepseek 负代价（−0.0625，与 deepseek 探针 1 原始 0.7500−0.8125 同幅）
R2A-T4-4,DS-R1-3,replicates,大审查/zcode/批次R2-A报告.md:17,legacy doctor 仅 1/4 检出（截断/并发丢更新/孤儿写+重算根全静默——R1-3 密码学静默精确复现）；,no,legacy doctor 仅 1/4 检出（截断/并发丢更新/孤儿写+重算根全静默）——R1-3 密码学静默精确复现
R2A-T4-4a,DS-R1-3,replicates,大审查/zcode/批次R2-A报告.md:85,A1 截断尾 2 行 | **静默**（前缀链自洽、集合根不变——R1-3 精确复现,no,A1 截断尾 2 行静默（前缀链自洽、集合根不变）——R1-3 精确复现
R2A-T1-1c2,SIM-E123,replicates,大审查/zcode/批次R2-A报告.md:58,"curate_truth 是唯一转正臂（+0.034~+0.045）**——E123""整理是数据空间的前提""的同构复现，",no,curate_truth 是唯一转正臂——E123'整理是数据空间的前提'的同构复现
R2A-C6,SIM-E77,refutes,大审查/zcode/批次R2-A报告.md:79,"各自在其世界为真**；架构文档应改为条件式表述（护栏代价符号=世界改进结构的函数），任何""护栏免费/护栏有价""的无条件表",yes,机械推断链：C6 判定'护栏免费/护栏有价'的无条件表述都不成立（代价符号=世界改进结构的函数）；SIM 侧无条件正收益表述出自 E77（第十七轮:44'安全性与性能不冲突'，PART2-JUDGE C6 列引混元 E77 +0.0331）
