kind,key,value
already-sampled,P1:participants.csv:GLM-网页端,phase=1 result=命中
already-sampled,P1:participants.csv:qwen,phase=1 result=命中
already-sampled,P1:participants.csv:智谱清言,phase=1 result=命中
already-sampled,P1:participants.csv:ZCode,phase=1 result=命中
already-sampled,P1:participants.csv:塞巴多拉贡,phase=1 result=命中
already-sampled,P1:participants.csv:Python 3.14.7,phase=1 result=命中
already-sampled,P1:participants.csv:py -X utf8 + Git Bash,phase=1 result=命中
already-sampled,P1:participants.csv:Windows 10 x64 10.0.26200,phase=1 result=命中
already-sampled,P1:participants.csv:Windows 11,phase=1 result=命中
already-sampled,P1:participants.csv:git,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-01,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-02,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-03,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-04,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-05,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-06,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-07,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-08,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-09,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-10,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-11,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-12,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-13,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-14,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-15,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-16,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-17,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-18,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-19,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-20,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-21,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-22,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-23,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-24,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-25,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-26,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-27,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-28,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-29,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-30,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-31,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-32,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-33,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-34,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-35,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-36,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-37,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-38,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-39,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-40,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-41,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-42,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-43,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-44,phase=1 result=命中
already-sampled,P1:mechanism-registry.csv:MECH-45,phase=1 result=命中
already-sampled,1b09f051a2d61238,phase=2b result=命中
already-sampled,06e8da94bc90c3d4,phase=2b result=命中
already-sampled,521efe84499fe2c9,phase=2b result=命中
already-sampled,aa91295305315087,phase=2b result=命中
already-sampled,c039be6de008ec8b,phase=2b result=命中
already-sampled,6368a3cb9751a899,phase=2b result=命中
already-sampled,e9a5aa2da387f227,phase=2b result=命中
already-sampled,914d3ccaa50895e0,phase=2b result=命中
already-sampled,956a20d20d093555,phase=2b result=命中
already-sampled,a8a9a424eb6ad8a9,phase=2b result=命中
already-sampled,c1177dbdd7d4c08e,phase=2b result=命中
already-sampled,8974519a52ecc0d1,phase=2b result=命中
already-sampled,769532b9f8232028,phase=2b result=命中
already-sampled,a96493c1f2c9f2bf,phase=2b result=命中
already-sampled,31a524a3a45ca1a5,phase=2b result=命中
already-sampled,ba5e9ba5911b6530,phase=2b result=命中
already-sampled,22e9cc38bca2b435,phase=2b result=命中
already-sampled,f77c6728ece94a6c,phase=2b result=命中
already-sampled,2ee982cda51d1fab,phase=2b result=命中
already-sampled,db17cd488247725c,phase=2b result=命中
already-sampled,2fc7156aca6c603b,phase=2b result=命中
already-sampled,82a8acbba7931e77,phase=2b result=命中
already-sampled,6245902473ef15c1,phase=2b result=命中
already-sampled,67a9911ee1575962,phase=2b result=命中
already-sampled,25eda8ef64fea680,phase=2b result=命中
already-sampled,a58cd7bea6852788,phase=2b result=命中
already-sampled,a1081a2999669145,phase=2b result=命中
already-sampled,57503f3b09e71ae2,phase=2b result=命中
already-sampled,f73315d27d16c4a2,phase=2b result=命中
already-sampled,a0a33a1c44e9f573,phase=2b result=命中
already-sampled,dc6fd786c50eebe8,phase=2b result=命中
already-sampled,0c4144f9dd91f8d2,phase=2b result=命中
already-sampled,dc6f2ad4759bb670,phase=2b result=命中
already-sampled,bd4a7ce61eb3cc03,phase=2b result=命中
already-sampled,a20a6bf1aff40345,phase=2b result=命中
already-sampled,fe750639ceafe13e,phase=2b result=命中
already-sampled,897e64a8b8606bcb,phase=2b result=命中
already-sampled,754792f1232e2c66,phase=2b result=命中
already-sampled,7f5d053e02c1a514,phase=2b result=命中
already-sampled,f7b6e9a896ccf812,phase=2b result=命中
already-sampled,bf02a941f9151955,phase=2b result=命中
already-sampled,9142b66257972cdb,phase=2b result=命中
already-sampled,4c4442ef07fdd02f,phase=2b result=命中
already-sampled,94951e26899700a5,phase=2b result=命中
already-sampled,d374746ac82915f4,phase=2b result=命中
already-sampled,706d33cf6dbc219a,phase=2b result=命中
already-sampled,89be75a19bc4f985,phase=2b result=命中
already-sampled,6845529e8454111d,phase=2b result=命中
already-sampled,874943eec596bbef,phase=2b result=命中
already-sampled,ba7d63a3858e3a2b,phase=2b result=命中
already-sampled,2440d5eeaf3167c6,phase=2b result=命中
already-sampled,c0513577ca267873,phase=2b result=命中
already-sampled,3e808bc5814f3fd8,phase=2b result=命中
already-sampled,e0aecd79d661ab31,phase=2b result=命中
already-sampled,4d6e95bf7ad7c068,phase=2b result=命中
already-sampled,3aaf489ffcc477e6,phase=2b result=命中
already-sampled,90fa56af727de63e,phase=2b result=命中
already-sampled,4763a3c155d82872,phase=2b result=命中
already-sampled,9a00ce25d9147456,phase=2b result=命中
already-sampled,af9905de0d261f95,phase=2b result=命中
already-sampled,1f3bfa2b1a380855,phase=2b result=命中
already-sampled,2470a4640b085040,phase=2b result=命中
already-sampled,f9573b223465c555,phase=2b result=命中
already-sampled,4925cd1bd75571ae,phase=2b result=命中
already-sampled,a3cab7a9c5b88d98,phase=2b result=命中
already-sampled,651d153660c851f5,phase=2b result=命中
already-sampled,bf2ce4a78bb89cef,phase=2b result=命中
already-sampled,3172f54aa17d4c70,phase=2b result=命中
already-sampled,4411691f820d489d,phase=2b result=命中
already-sampled,b8f7805b5f7c9677,phase=2b result=命中
already-sampled,5ca71dac8f7b33bd,phase=2b result=命中
already-sampled,80d50614f929e212,phase=2b result=命中
already-sampled,eafa0db8601e6655,phase=2b result=命中
already-sampled,7b71f3d6bc91d917,phase=2b result=命中
already-sampled,3c12441871d7a1fb,phase=2b result=命中
already-sampled,45b68a8670a78cd3,phase=2b result=命中
already-sampled,623d4828fac0bb54,phase=2b result=命中
already-sampled,49902aaad68b7bee,phase=2b result=命中
already-sampled,fef09e0e3ed6e33c,phase=2b result=命中
already-sampled,1683968e8b66a59a,phase=2b result=命中
already-sampled,affcf89205b72aea,phase=2b result=命中
already-sampled,3a16cad92aa02a2c,phase=2b result=命中
already-sampled,057255572005b85c,phase=2b result=命中
already-sampled,5e6161715cb0c3c3,phase=2b result=命中
already-sampled,1b8882db93f43da7,phase=2b result=命中
already-sampled,6b6614bed68e7630,phase=2b result=命中
already-sampled,4737c9c327ac3933,phase=2b result=命中
already-sampled,69cde878b40b7ef7,phase=2b result=命中
already-sampled,a244786787897068,phase=2b result=命中
already-sampled,8fe263f91601e47b,phase=2b result=命中
already-sampled,9b0eb00512f9bbce,phase=2b result=命中
already-sampled,874ad7cea3e087b6,phase=2b result=命中
already-sampled,e6cb99a53751a4ad,phase=2b result=命中
already-sampled,c9be5b195cd23cf3,phase=2b result=命中
already-sampled,9786e849d4f88a5f,phase=2b result=命中
already-sampled,3007ad1dbbff83a9,phase=2b result=命中
already-sampled,7e64d1a428265884,phase=2b result=命中
already-sampled,83e290143c3f6a45,phase=2b result=命中
already-sampled,126e66d90463f7a1,phase=2b result=命中
already-sampled,7145acebcf9620fc,phase=2b result=命中
already-sampled,c55f9f774ddca82e,phase=2b result=命中
already-sampled,b8bee2c83d6a0645,phase=2b result=命中
already-sampled,efd5c7d3c5583eac,phase=2b result=命中
already-sampled,898245377c1df8d6,phase=2b result=命中
already-sampled,c0e9e3dbb9d8b091,phase=2b result=命中
already-sampled,99bf3cfefc55cf4e,phase=2b result=命中
already-sampled,dfef56d33e8d247e,phase=2b result=命中
already-sampled,60241000f591c7a1,phase=2b result=命中
already-sampled,6a716e8a17fa9bd9,phase=2b result=命中
already-sampled,71f5c8aefb6626a5,phase=2b result=命中
already-sampled,13dba20b29571d27,phase=2b result=命中
already-sampled,ef5f9610112c55bd,phase=2b result=命中
already-sampled,67ad55ab34bb0220,phase=2b result=命中
already-sampled,9c701a707da8770d,phase=2b result=命中
already-sampled,71d4e6cab7831c6d,phase=2b result=命中
already-sampled,d8c0f657d4c11d6d,phase=2b result=命中
already-sampled,d52d33142f80b1ce,phase=2b result=命中
already-sampled,b3f310013541cf3c,phase=2b result=命中
already-sampled,d1ad2ead1441ce3d,phase=2b result=命中
already-sampled,d2380bd71b447496,phase=2b result=命中
already-sampled,96b243d60b65b5c3,phase=2b result=命中
already-sampled,a2821d5b58de88b3,phase=2b result=命中
already-sampled,09517f9f1365a5d0,phase=2b result=命中
already-sampled,6e577c6beaf92be0,phase=2b result=命中
already-sampled,88f6e33d5d4fc89e,phase=2b result=命中
already-sampled,28b76b07ea31d2c5,phase=2b result=命中
already-sampled,4d6d02f717d7094e,phase=2b result=命中
already-sampled,b5c953d2b8c1858a,phase=2b result=命中
already-sampled,1430d77e5d5d7886,phase=2b result=命中
already-sampled,P3:SIM-E24-supersedes-SIM-E10,phase=3 result=命中
already-sampled,P3:SIM-E67-contradicts-SIM-E3,phase=3 result=命中
already-sampled,P3:SIM-E115-contradicts-SIM-E108,phase=3 result=命中
already-sampled,P3:KB-TASK-024-replicates-SIM-E131,phase=3 result=命中
already-sampled,P3:DS-R1-1-supersedes-DS-H3,phase=3 result=命中
already-sampled,P3:DS-P1-contradicts-SIM-E16,phase=3 result=命中
already-sampled,P3:DS-REPORT-supersedes-DS-H3,phase=3 result=命中
already-sampled,P3:DS-STAT-PROTO-replicates-SIM-E81,phase=3 result=命中
already-sampled,P3:REAL-X1-replicates-SIM-REPORT,phase=3 result=命中
already-sampled,P3:REAL-X5-replicates-SIM-E14,phase=3 result=命中
already-sampled,P3:REAL-TREE-ZC-refutes-SIM-E57,phase=3 result=命中
already-sampled,P3:REAL-ACCEPT-HY-replicates-SIM-HANDOVER,phase=3 result=命中
already-sampled,P3:R2A-T4-4a-replicates-DS-R1-3,phase=3 result=命中
already-sampled,P3:R2-T3-2a-replicates-SIM-E42,phase=3 result=命中
already-sampled,P3:R2A-T2-1-motivated_by-PLAN-T2-1,phase=3 result=命中
already-sampled,P3:VERIF-X5-refutes-SIM-REPORT,phase=3 result=命中
already-sampled,P3:PART2-RND-7-motivated_by-PART2-RND-6,phase=3 result=命中
already-sampled,P3:PART2-RND-2-motivated_by-PART2-PREREG-2,phase=3 result=命中
already-sampled,P3:PART2-RND-9-motivated_by-PART2-PREREG-9,phase=3 result=命中
already-sampled,P3:PART2-PREREG-3-replicates-SIM-E16,phase=3 result=命中
already-sampled,P3:PART2-ANALYSIS-contradicts-SIM-E14,phase=3 result=命中
already-sampled,P3:CB-MEMEVOLVE-replicates-SIM-E26,phase=3 result=命中
already-sampled,P3:REVIEW-GLM-replicates-SIM,phase=3 result=命中
already-sampled,P3:META-HANDOVER-replicates-SIM-E14,phase=3 result=命中
already-sampled,P6:d8a8609e0c5645a55127ec95b1aedcc4173d74ce,phase=6 result=命中
already-sampled,P6:ab42fc02859c5e9421d3a30c711a0d9761cc14b5,phase=6 result=命中
already-sampled,P6:6bd2d8ab274883902ebcb3ca8f7e959c68dabcd6,phase=6 result=命中
already-sampled,P6:ae38b31b874812023cfdaae1e5bc377480650d10,phase=6 result=命中
already-sampled,P6:b10d48ea4befd4b53db18f79dff7413fe320ee9f,phase=6 result=命中
stat-command,cmd-01,py -X utf8 workspace-audit/tools/ledger_tool.txt count
stat-command,cmd-02,py -X utf8 workspace-audit/tools/phase5_zones.txt > workspace-audit/data/phase5-summary.txt
stat-command,cmd-03,py -X utf8 workspace-audit/tools/phase6_build.txt
stat-command,cmd-04,py -X utf8 workspace-audit/tools/phase6_spotcheck.txt
stat-command,cmd-05,py -X utf8 workspace-audit/tools/phase7_grade.txt > workspace-audit/data/phase7-summary.txt
stat-command,cmd-06,py -X utf8 workspace-audit/tools/phase8_matrix.txt > workspace-audit/data/phase8-summary.txt
stat-command,cmd-07,py -X utf8 workspace-audit/tools/phase9_status.txt > workspace-audit/data/phase9-summary.txt
stat-command,cmd-08,py -X utf8 workspace-audit/tools/phase11_stats.txt
stat-command,cmd-09,wc -l workspace-audit/claim_ledger.csv workspace-audit/lit-ledger.csv workspace-audit/incident-log.csv workspace-audit/lm-matrix.csv workspace-audit/tree_edges.csv workspace-audit/delta-baseline.csv
stat-command,cmd-10,sha256sum workspace-audit/*.csv
stat-command,cmd-11,git -C . log --oneline -20
ledger-snapshot,claim_ledger.csv,lines=3941 sha256=f3b2af869e9345d7
ledger-snapshot,alias_map.csv,lines=53 sha256=ff63d0b2e3b10871
ledger-snapshot,tree_edges.csv,lines=174 sha256=e765c0b8db0e6bf7
ledger-snapshot,lit-ledger.csv,lines=117 sha256=c93f1186f7902f3b
ledger-snapshot,incident-log.csv,lines=26 sha256=331e6a1a07dc1421
ledger-snapshot,ordering-claims.csv,lines=9 sha256=ca9e821f574bea87
ledger-snapshot,ghost-papers.csv,lines=35 sha256=410b41b52d301d6c
ledger-snapshot,mechanism-registry.csv,lines=46 sha256=597c60b269599db2
ledger-snapshot,lm-matrix.csv,lines=271 sha256=e7e113b269669732
ledger-snapshot,supersede_log.csv,lines=3 sha256=cc426805828c7ff2
ledger-snapshot,audit-log.csv,lines=322 sha256=27db7847967f1723
ledger-snapshot,delta-baseline.csv,lines=20 sha256=4ddb89b7adc9a3bd
ledger-snapshot,ghost_list.csv,lines=4 sha256=ddef5dfd3a80e500
ledger-snapshot,participants.csv,lines=15 sha256=e9e4223dd2ef84f4
ledger-snapshot,99-MAP.md,lines=82 sha256=84441bde88b9187c
ledger-snapshot,archive-plan.md,lines=40 sha256=22e713df9a710c00
