obj,name,status,layer,matched_kw,severity,blindness,anchor
INC-04,SIM-E40｜退化到 −0.1124,verified,L4,sev:退化到 bli:全绿,3,3,大审查/混元/自演化推演_实验总报告-14轮后.md:647（命中 2 条，取 claim_id 最小）
INC-05,DS-R1-3｜多主线并发写,verified,L1,sev:丢更新 bli:静默,4,3,大审查/deepseek/结果_R1-3_v3缺陷回归.md:15（命中 1 条，取 claim_id 最小）
INC-06,DS-R1-3｜截断后链连续+根自洽,verified,L3,sev:丢更新 bli:静默,4,3,大审查/deepseek/结果_批次R1_超详尽大报告.md:19（命中 1 条，取 claim_id 最小）
INC-07,SIM-E112｜爆炸到 7–27,verified,L1,sev:爆炸 bli:默认,4,0,大审查/混元/自演化推演_实验总报告25轮后.md:281（命中 2 条，取 claim_id 最小）
INC-08,SIM-E24｜margin 被降到 −0.04,verified,L4,sev:降到 − bli:默认,3,0,大审查/混元/自演化推演_实验总报告-14轮后.md:198（命中 1 条，取 claim_id 最小）
INC-09,SIM-E95b｜目标函数构造所污染,refuted,L4,sev:污染 bli:默认,2,0,大审查/混元/bootstrap_自演化推演_第二十轮.md:100（命中 1 条，取 claim_id 最小）
INC-10,*｜过早重组,verified,L2,sev:作废 bli:默认,3,0,库调试工作区/references/两轴模型与演化授权-v1.md:22（命中 3 条，取 claim_id 最小）
INC-11,VERIF-X5｜计数口径不统一,open,L0,sev:口径 bli:默认,2,0,猴子记忆库推演/reports/00-验证总报告.md:92（命中 1 条，取 claim_id 最小）
INC-12,PART2-FINAL｜三次流程违规,verified,L3,sev:手抄 bli:默认,2,0,大审查/reports/99-FINAL.md:87（命中 1 条，取 claim_id 最小）
INC-13,PART2-PREREG-7｜初稿手算两处错,verified,L3,sev:手算 bli:默认,2,0,大审查/reports/round-7-预注册.md:28（命中 1 条，取 claim_id 最小）
INC-14,DEPLOY-V39｜recall@5 劣化 0.485→0.394,verified,L3,sev:劣化 bli:默认,3,0,knowledge/trajectories/2026-09-08/task-020-自演化沙盒.md:45（命中 1 条，取 claim_id 最小）
INC-15,DEPLOY-V32｜绕过幻觉检测刷分,verified,L4,sev:刷分 bli:刷分,4,3,库调试v3.2/spec.md:14（命中 1 条，取 claim_id 最小）
INC-16,SIM-E34｜92% 误报,verified,L3,sev:误报 bli:默认,2,0,大审查/混元/自演化推演_实验总报告-14轮后.md:208（命中 3 条，取 claim_id 最小）
INC-17,SIM-E91｜零乘锁死,open,L2,sev:锁死 bli:默认,3,0,大审查/混元/bootstrap_自演化推演_第十九轮.md:127（命中 1 条，取 claim_id 最小）
INC-18,KB-TASK-014｜chdir,verified,L2,sev:污染 bli:测试,2,0,knowledge/trajectories/2026-09-06/task-014-v31执行.md:9（命中 1 条，取 claim_id 最小）
INC-19,KB-TASK-018｜静默丢弃,verified,L2,sev:静默 bli:静默,4,3,knowledge/trajectories/2026-09-07/task-018-v34执行.md:5（命中 1 条，取 claim_id 最小）
INC-20,CB-MEMEVOLVE｜未标定的护栏是伤害源,verified,L3,sev:净损失 bli:默认,3,0,大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验报告.md:23（命中 1 条，取 claim_id 最小）
INC-21,SIM-E8｜自报 0.094 vs 真实 0.025,verified,L4,sev:默认 bli:默认,0,0,大审查/混元/bootstrap_自演化推演_第三轮.md:197（命中 2 条，取 claim_id 最小）
INC-22,SIM-CODEAUDIT｜自测结论写死,open,L2,sev:静默 bli:静默,4,3,猴子记忆库推演/自演化推演_实验总报告17轮后.md:40（命中 1 条，取 claim_id 最小）
INC-23,REVIEW-豆包｜行号在 v3.8.2 已漂移,verified,L0,sev:漂移 bli:默认,2,0,大审查/复审/豆包-裁决.md:15（命中 1 条，取 claim_id 最小）
INC-24,DEPLOY-V39｜pilot 首跑静默丢数据,verified,L2,sev:绕过 bli:静默,4,3,库调试工作区/命令速查-v3.9.md:74（命中 1 条，取 claim_id 最小）
