kind,ref_anchor,ref_type,ref_status,blind_file_line,blind_type,blind_status,ref_quote,blind_quote
FIELD-DIFF,大审查/混元/离线实验总纲_从零复现.md:25,result,verified,大审查/混元/离线实验总纲_从零复现.md:25,verdict,verified,"所有有效机制都是""配对""的**：探索 × 筛选，单侧无效甚至有害 | E7（0/20）、E110（−0.048 vs +","所有有效机制都是""配对""的**：探索×筛选，单侧无效甚至有害"
FIELD-DIFF,大审查/混元/自演化推演_方法论总结25轮后.md:134,method,verified,大审查/混元/自演化推演_方法论总结25轮后.md:134,verdict,refuted,假设世界是静态的 | 代码扫描（115 个实验全部如此） |,假设世界是静态的|代码扫描（115个实验全部如此
FIELD-DIFF,大审查/混元/自演化推演_方法论总结.md:30,method,verified,大审查/混元/自演化推演_方法论总结.md:30,verdict,verified,性能 = 探索力 × 筛选力的配对质量`，不是两者之和。,性能=探索力×筛选力的配对质量`，不是两者之和
FIELD-DIFF,大审查/混元/自演化推演_实验总报告25轮后.md:1021,verdict,verified,大审查/混元/自演化推演_实验总报告25轮后.md:1021,result,verified,高写入质量是 4 倍资产（+0.293）——自写入是杠杆，方向取决于质量。**,高写入质量是4倍资产（+0.293）——自写入是杠杆，方向取决于质量
FIELD-DIFF,大审查/混元/自演化推演_实验总报告25轮后.md:985,verdict,verified,大审查/混元/自演化推演_实验总报告25轮后.md:985,result,verified,E60 / E66 / E80 / E87 / E93 / **E115** —— 六次独立出现。,E60/E66/E80/E87/E93/**E115**——六次独立出现
FIELD-DIFF,大审查/混元/自演化推演_实验总报告23轮后.md:844,verdict,verified,大审查/混元/自演化推演_实验总报告23轮后.md:844,result,verified,探针污染 / 通道注入（E84/E85）→ 再失效：收益 −75%，膨胀 349×,收益−75%，膨胀349×
FIELD-DIFF,大审查/混元/自演化推演_实验总报告23轮后.md:279,result,verified,大审查/混元/自演化推演_实验总报告23轮后.md:279,result,contradicted,v3 +0.014 / v4 +0.018 / v4-A +0.064 / **v4-B +0.151** |,最终对决**|v3+0.014/v4+0.018/v4-A+0.064/**v4-B+0.151
FIELD-DIFF,大审查/混元/自演化推演_实验总报告23轮后.md:260,result,verified,大审查/混元/自演化推演_实验总报告23轮后.md:260,result,superseded,污染≥50% 时任何判断都不可委派 |,委派边界|污染≥50%时任何判断都不可委派
FIELD-DIFF,大审查/混元/自演化推演_实验总报告23轮后.md:3,parameter,verified,大审查/混元/自演化推演_实验总报告23轮后.md:3,parameter,superseded,110 个实验** + 3 个架构原型 + **21 次实验设计失败记录** + **20 次自我推翻,从代码审查到二十三轮自演化推演的全部实测结果（**110个实验**+3个架构原型+**21次实验设计失败记录**+**2
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:747,verdict,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:747,verdict,refuted,层次化归并 · 近因加权 · 剔除矛盾样本 · 1/5 自适应步长 · 简单恢复解冻 · 回滚 · 元参数开放 · Δ分,层次化归并·近因加权·剔除矛盾样本·1/5自适应步长·简单恢复解冻·回滚·元参数开放·Δ分布自标定margin·跨库迁移
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:690,verdict,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:690,result,verified,"**0.90 → 0.85**。第四轮的""8/8 检出""是在一个几乎永远报警的设置下取得的，含金量很低。","0.90→0.85**。第四轮的""8/8检出""是在一个几乎永远报警的设置下取得的，含金量很低"
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:536,method,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:536,result,verified,"差一点把 bug 当成""bootstrap 抗剥削""的证据**；结果与预期过于一致时应先怀疑实验",E24首版`bootstrap`模式漏设`meta=True`|margin根本没被演化，结果与`frozen`完全一致
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:236,result,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:236,result,superseded,预算<150 终局恒为负；超线性**,注意力-自主性边界**|**预算<150终局恒为负；超线性
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:19,result,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:19,result,superseded,预算 <150 单位时终局效用始终为负**（E64）。自演化不能小规模试水,预算<150单位时终局效用始终为负**（E64）。自演化不能小规模试水
FIELD-DIFF,大审查/混元/自演化推演_实验总报告-14轮后.md:3,parameter,verified,大审查/混元/自演化推演_实验总报告-14轮后.md:3,parameter,superseded,66 个实验** + 3 个架构原型 + **17 次实验设计失败记录** + **14 次自我推翻,从代码审查到十四轮自演化推演的全部实测结果（**66个实验**+3个架构原型+**17次实验设计失败记录**+**14次
FIELD-DIFF,大审查/混元/自演化推演_实验总报告.md:502,method,verified,大审查/混元/自演化推演_实验总报告.md:502,verdict,verified,法层永远改不了元层——**系统无法修改评判自己的尺子**。,法层永远改不了元层——**系统无法修改评判自己的尺子
FIELD-DIFF,大审查/混元/自演化推演_实验总报告.md:397,method,verified,大审查/混元/自演化推演_实验总报告.md:397,verdict,superseded,本表为第五轮修复特征缓存 bug 后的复核值。原报告（α=0.20 真实 0.6906 / 起点 0.7844）受 `i,本表为第五轮修复特征缓存bug后的复核值。原报告（α=0.20真实0.6906/起点0.7844）受`id()`复用导致
FIELD-DIFF,大审查/混元/自演化推演_实验总报告.md:95,method,verified,大审查/混元/自演化推演_实验总报告.md:95,verdict,verified,系统实际是**四条平行真相**：`audit/`（事件指针）、`ledger/`（变更流水）、`memory/`（内容正,四条平行真相**：`audit/`（事件指针）、`ledger/`（变更流水）、`memory/`（内容正本）、`sta
FIELD-DIFF,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:195,parameter,verified,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:195,hypothesis,open,内核约 **400 行**,内核约**400行**，内容包独立仓库
FIELD-DIFF,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:181,parameter,verified,大审查/混元/bootstrap_完全重构_可能性空间探讨.md:181,hypothesis,open,核心从 2400 行降到约 **600 行**,核心从2400行降到约**600行
FIELD-DIFF,大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:381,method,verified,大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:381,verdict,verified,"id 重复` 在 fold 时天然被拒——v3 的""同 id 跨层共存""（P1-7）在事件溯源下不可能发生，因为唯一性由",在事件溯源下不可能发生，因为唯一性由fold保证
FIELD-DIFF,大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:166,method,verified,大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:166,verdict,verified,所有投影都可以删掉重建**——这是 v3 与 v4 最本质的区别。,所有投影都可以删掉重建**——这是v3与v4最本质的区别
FIELD-DIFF,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:515,result,verified,大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:515,verdict,verified,实测 300 条目库 `merkle_root` 0.005s、`retrieve` 全库扫描 0.008s——**当前,实测300条目库`merkle_root`0.005s、`retrieve`全库扫描0.008s——**当前规模性能不是
FIELD-DIFF,大审查/混元/v3.8bootstrap_v3_修复工单.md:640,method,verified,大审查/混元/v3.8bootstrap_v3_修复工单.md:640,result,verified,任意层级名为 `state.json` 的文件都被排除，构成藏匿面（在 `modules/` 下放一个 `state.j,任意层级名为`state.json`的文件都被排除，构成藏匿面
FIELD-DIFF,大审查/混元/v3.8bootstrap_v3_修复工单.md:624,parameter,verified,大审查/混元/v3.8bootstrap_v3_修复工单.md:624,result,verified,16 hex = 64bit，生日碰撞界 2^32；与 state 中 256bit Merkle 根口径不一致。漂移检,16hex=64bit，生日碰撞界2^32
FIELD-DIFF,大审查/混元/v3.8bootstrap_v3_修复工单.md:519,result,verified,大审查/混元/v3.8bootstrap_v3_修复工单.md:519,verdict,verified,一条注入即可废掉整个库的审计真相源。对记忆库而言，注入源可能是被检索回来的外部文本。,一条注入即可废掉整个库的审计真相源
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:173,verdict,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:173,result,verified,**5:0。** 全部是简单方案获胜。,5:0。**全部是简单方案获胜
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:132,verdict,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:132,result,verified,花 15 倍成本，零额外收益**,"""直接点火""只花8单位，拿到+0.058**——是`先任务集`（花120，+0.058）的**同等效果**。即：**花1"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:115,method,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:115,verdict,verified,"效用维度维持 3–5，理由从""样本成本""升级为""**成本 + 安全**""。这是少数两个理由指向同一个结论的情况，因此这条","效用维度维持3–5，理由从""样本成本""升级为""**成本+安全**""。这是少数两个理由指向同一个结论的情况，因此这条红线的"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:70,method,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:70,parameter,verified,cap 默认 8（而非 E30 的 12、E68 的 6）**。8 在三个场景最优，且避免了 cap=4 的探索受限与 ,cap默认8（而非E30的12、E68的6）**。8在三个场景最优，且避免了cap=4的探索受限与cap=40的选择压力
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:45,method,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:45,verdict,verified,门控应该**简单且二元**。宁可用一个粗糙但无漏洞的判据，也不要用精致但有补偿空间的判据。,门控应该**简单且二元**。宁可用一个粗糙但无漏洞的判据，也不要用精致但有补偿空间的判据
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十六轮.md:19,result,verified,大审查/混元/bootstrap_自演化推演_第十六轮.md:19,result,refuted,"我的""改良""几乎毁掉了留出集门的防护","我的""改良""几乎毁掉了留出集门的防护**：伪特征权重从0.295涨到1.114，新鲜集效用从−0.039恶化到−0.22"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十五轮.md:105,method,verified,大审查/混元/bootstrap_自演化推演_第十五轮.md:105,verdict,verified,推荐自适应刷新**（检出漂移后才重采）：效果相同，成本最低。,推荐自适应刷新**（检出漂移后才重采）：效果相同，成本最低
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十五轮.md:55,method,verified,大审查/混元/bootstrap_自演化推演_第十五轮.md:55,verdict,verified,它按总量拒绝，不按成分拒绝。** 理想做法应该是分别检验各特征的贡献（需要更多留出集样本）。未测。,它按总量拒绝，不按成分拒绝。**理想做法应该是分别检验各特征的贡献（需要更多留出集样本）。未测
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十五轮.md:51,result,verified,大审查/混元/bootstrap_自演化推演_第十五轮.md:51,result,contradicted,伪特征场景下，开护栏反而略差（−0.0065）。** 这与 E3（留出集门防过拟合）矛盾。,伪特征场景下，开护栏反而略差（−0.0065）。**这与E3（留出集门防过拟合）矛盾
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十五轮.md:47,verdict,verified,大审查/混元/bootstrap_自演化推演_第十五轮.md:47,result,verified,E65 的缺陷确实污染了结论**：`drift` 从 0 变成 0.145,E65的缺陷确实污染了结论**：`drift`从0变成0.145（最大收益项之一），`deceptive`从−0.020
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十七轮.md:134,method,open,大审查/混元/bootstrap_自演化推演_第十七轮.md:134,verdict,open,≥3 种危险同时出现时不可靠,"接受这个边界**：明确写入文档""本架构在≥3种危险同时出现时不可靠"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十七轮.md:20,method,verified,大审查/混元/bootstrap_自演化推演_第十七轮.md:20,verdict,verified,"最小可行版本 = 锚定审计 + Pareto 档案**，两项就拿到 89% 的收益。留出集门与监控是""保险""（平时几乎零",最小可行版本=锚定审计+Pareto档案**，两项就拿到89%的收益
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十四轮.md:100,verdict,verified,大审查/混元/bootstrap_自演化推演_第十四轮.md:100,result,refuted,这个实验有严重缺陷，结果不可信**：,这个实验有严重缺陷，结果不可信
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十四轮.md:58,method,superseded,大审查/混元/bootstrap_自演化推演_第十四轮.md:58,verdict,superseded,不要逐参数独立调优。** E30 说 cap=12 最优、E55 说 tol=0.04 最优、E36 说 margin=,不要逐参数独立调优。**E30说cap=12最优、E55说tol=0.04最优、E36说margin=0.01–0.03
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十四轮.md:56,result,verified,大审查/混元/bootstrap_自演化推演_第十四轮.md:56,result,superseded,"阶段 5 的参数调优反而 −0.027**。这是本轮唯一的意外：把 `margin 0.01→0.02, tol 0.0","阶段5的参数调优反而−0.027**。这是本轮唯一的意外：把`margin0.01→0.02,tol0.0→0.04,c"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十四轮.md:23,verdict,verified,大审查/混元/bootstrap_自演化推演_第十四轮.md:23,result,verified,6 个场景中 5 个 v4 更优，全场景均值翻倍（+0.042 → +0.094）。**,6个场景中5个v4更优，全场景均值翻倍（+0.042→+0.094）
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十三轮.md:79,result,verified,大审查/混元/bootstrap_自演化推演_第十三轮.md:79,verdict,verified,"等预算下多主线的收益不确定。** 12 个种子在此操作点的噪声较大（±0.05），本实验不足以给出可靠推荐。E48 的""","等预算下多主线的收益不确定。**12个种子在此操作点的噪声较大（±0.05），本实验不足以给出可靠推荐。E48的""多岛+"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十三轮.md:23,verdict,verified,大审查/混元/bootstrap_自演化推演_第十三轮.md:23,result,verified,"系统把标注者的偏见学进去了**：因为偏见是""偏好高 importance""，系统就提高 importance 权重。这比","被推高到0.77–0.99——**系统把标注者的偏见学进去了**：因为偏见是""偏好高importance""，系统就提高i"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十二轮.md:161,hypothesis,open,大审查/混元/bootstrap_自演化推演_第十二轮.md:161,hypothesis,verified,这可能是全部实验中**最危险的未测项,相关噪声的金标**（E52）——标注者有系统性偏好时，双门过滤不掉。这可能是全部实验中**最危险的未测项
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十二轮.md:104,method,verified,大审查/混元/bootstrap_自演化推演_第十二轮.md:104,parameter,verified,tol 的最优值依赖于地形，无法统一设定。** 可行策略是取一个**温和的宽松值**（0.02–0.06），它在平滑地形,tol的最优值依赖于地形，无法统一设定。**可行策略是取一个**温和的宽松值**（0.02–0.06）
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十二轮.md:86,result,verified,大审查/混元/bootstrap_自演化推演_第十二轮.md:86,result,contradicted,欺骗地形列与 E42_E7 的结论相反**：那里宽松准入 9/12 到达全局最优、严格 0/12；这里**严格（tol=,欺骗地形列与E42_E7的结论相反**：那里宽松准入9/12到达全局最优、严格0/12；这里**严格（tol=0）最好（
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十二轮.md:33,hypothesis,open,大审查/混元/bootstrap_自演化推演_第十二轮.md:33,hypothesis,verified,"真实场景的标注噪声可能是""相关噪声""（标注者有系统性偏好），而非独立随机——那种情况双门过滤不掉","真实场景的标注噪声可能是""相关噪声""（标注者有系统性偏好），而非独立随机——那种情况双门过滤不掉。**这是未测的残留风险"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十一轮.md:58,result,verified,大审查/混元/bootstrap_自演化推演_第十一轮.md:58,result,superseded,多主线有效（8 岛 +0.167 vs 单主线 +0.130，+29%），但迁移没有帮助，甚至略负。**,多主线有效（8岛+0.167vs单主线+0.130，+29%），但迁移没有帮助，甚至略负
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十轮.md:130,method,verified,大审查/混元/bootstrap_自演化推演_第十轮.md:130,verdict,verified,"平台期检测不能拿历史最优分数当作当前天花板。** 世界一变，那个分数就过期了，系统会误判为""已收敛""而停止探索——**恰","平台期检测不能拿历史最优分数当作当前天花板。**世界一变，那个分数就过期了，系统会误判为""已收敛""而停止探索——**恰好"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十轮.md:117,result,verified,大审查/混元/bootstrap_自演化推演_第十轮.md:117,result,superseded,第一次实现：42/56。** `drifted` 全被判成,第一次实现：42/56。**`drifted`全被判成`switched`，`switched`全被判成`converg
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十轮.md:107,method,verified,大审查/混元/bootstrap_自演化推演_第十轮.md:107,verdict,verified,"不需要标定得准，只要能检测到""卡住不动""并自动放宽**。这比 E43 的自动标定成功得多——因为它检测的是**结果**（","不需要标定得准，只要能检测到""卡住不动""并自动放宽"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第十轮.md:88,verdict,verified,大审查/混元/bootstrap_自演化推演_第十轮.md:88,verdict,open,统计形式的自标定在这里是错的。** 正确做法应该是用**配对重评估**（同一配置评估两次，测纯噪声），而非从变异的 Δ ,统计形式的自标定在这里是错的。**正确做法应该是用**配对重评估**（同一配置评估两次，测纯噪声），而非从变异的Δ分布反
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第九轮.md:137,parameter,verified,大审查/混元/bootstrap_自演化推演_第九轮.md:137,result,verified,实验总数 | **33 个**（E1–E41，含编号跳跃） |,实验总数|**33个**（E1–E41，含编号跳跃
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第九轮.md:85,verdict,verified,大审查/混元/bootstrap_自演化推演_第九轮.md:85,result,refuted,标注条数与终局效用的关系在本实验中不单调**（20 条 +0.096 > 50 条 +0.015）。这与 E9（样本越多,标注条数与终局效用的关系在本实验中不单调**（20条+0.096>50条+0.015）。这与E9（样本越多τ越高）矛盾，
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第九轮.md:61,method,verified,大审查/混元/bootstrap_自演化推演_第九轮.md:61,parameter,verified,margin 标定 + 监控采纳率** | ✅ 无条件（错了就停摆） | **P0：必须做，且要加监控**,margin标定+监控采纳率**|✅无条件（错了就停摆
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第八轮.md:90,method,verified,大审查/混元/bootstrap_自演化推演_第八轮.md:90,verdict,verified,"margin 必须被标定，且标定后要监控""采纳率""——采纳率趋近 0 就是停摆的征兆。**","margin必须被标定，且标定后要监控""采纳率""——采纳率趋近0就是停摆的征兆"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第八轮.md:88,result,verified,大审查/混元/bootstrap_自演化推演_第八轮.md:88,parameter,verified,margin **过大**（0.15） | **致命**：120 代零采纳，演化完全停摆（E29b）,（0.15）|**致命**：120代零采纳，演化完全停摆
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第七轮.md:141,result,open,大审查/混元/bootstrap_自演化推演_第七轮.md:141,verdict,verified,本实验未能确定最优轮换节奏，E8 的膨胀效应也未在此规模下复现。** 这是一个**未完成**的实验，不应写入红线。若要做,本实验未能确定最优轮换节奏，E8的膨胀效应也未在此规模下复现。**这是一个**未完成**的实验，不应写入红线
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第七轮.md:98,result,verified,大审查/混元/bootstrap_自演化推演_第七轮.md:98,verdict,verified,压缩不仅不损害，反而**优于不压缩**（0.797 vs 0.641）。,压缩不仅不损害，反而**优于不压缩**（0.797vs0.641）。推测机制：过大的档案使父代采样退化为准随机游走，反而
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第八轮.md:32,method,verified,大审查/混元/bootstrap_自演化推演_第八轮.md:32,parameter,verified,审计阈值从 0.90 改为 0.85。**,审计阈值从0.90改为0.85
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第六轮.md:147,verdict,verified,大审查/混元/bootstrap_自演化推演_第六轮.md:147,result,verified,层次化是灾难——样本越多，差距越大**（这不是方差问题，是系统偏差）。,层次化是灾难——样本越多，差距越大**（这不是方差问题，是系统偏差
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第六轮.md:58,method,verified,大审查/混元/bootstrap_自演化推演_第六轮.md:58,verdict,verified,"任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化（有下界 ≥ 0 且单调不减）。**","任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化（有下界≥0且单调不减"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:268,hypothesis,open,大审查/混元/bootstrap_自演化推演_第五轮.md:268,hypothesis,verified,构造一个元参数能直接影响自身被评判结果的场景**，看系统会不会把门控放松到形同虚设。如果会，那么元参数必须全部冻结（而非,构造一个元参数能直接影响自身被评判结果的场景**，看系统会不会把门控放松到形同虚设。如果会，那么元参数必须全部冻结（而非
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:141,method,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:141,verdict,verified,效用函数的维度必须克制。** 每增加一个目标维度，人类判断的成本成倍上升。建议维持 3–5 维；确有更多目标时，应通过*,效用函数的维度必须克制。**每增加一个目标维度，人类判断的成本成倍上升。建议维持3–5维
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:125,result,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:125,verdict,verified,20 条标注的效用/成本是 80 条的 4.8 倍）。结合 E9（80 条达 τ=0.9）与 E20（最大差异采样可省 ,先用最大差异采样花~50条把τ拉到0.9，剩余预算全部投给审计+解冻通道
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:106,result,open,大审查/混元/bootstrap_自演化推演_第五轮.md:106,result,superseded,在本实验规模下结果相同，设计未能区分二者，该结论暂不成立。,结果相同，设计未能区分二者，该结论暂不成立
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:55,verdict,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:55,result,verified,红队被迫变成保守优化器，无法迈大步。对抗性压力意外地产生了正则化效果,"红队变异的结果反而更好**（+0.206vs+0.090）。因为""刚好通过门控""意味着**最小幅度的改动**——红队被迫"
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:25,result,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:25,verdict,verified,结论方向不变，但严重程度是原报告的 9 倍。**,结论方向不变，但严重程度是原报告的9倍
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第五轮.md:6,verdict,verified,大审查/混元/bootstrap_自演化推演_第五轮.md:6,result,superseded,E14 数据已重测，**结论方向不变但严重性远超原报告,本轮同时发现并修复了影响第四轮E14的缓存bug，E14数据已重测，**结论方向不变但严重性远超原报告
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第四轮.md:268,verdict,verified,大审查/混元/bootstrap_自演化推演_第四轮.md:268,result,verified,该基因从未生效**——前三轮凡是涉及它的结论都需打折,失败2（expand_links是死代码）**：原实现链接到`f{i}`，但世界里只有`e{i}`开头的条目，**该基因
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第四轮.md:123,result,verified,大审查/混元/bootstrap_自演化推演_第四轮.md:123,result,superseded,bootstrap 在同等假阳性率下检出率是置换检验的 2 倍**（0.33 vs 0.17；0.58 vs 0.33）,bootstrap在同等假阳性率下检出率是置换检验的2倍**（0.33vs0.17；0.58vs0.33）——**应优先
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第四轮.md:41,result,verified,大审查/混元/bootstrap_自演化推演_第四轮.md:41,result,superseded,**0.90** | **8/8** | **9.4**,**0.90**|**8/8**|**9.4**
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:215,method,superseded,大审查/混元/bootstrap_自演化推演_第三轮.md:215,verdict,refuted,判断样本只追加、带 ts、近因加权**（冲突判断靠衰减而非删除,判断样本只追加、带ts、近因加权**（冲突判断靠衰减而非删除
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:211,method,verified,大审查/混元/bootstrap_自演化推演_第三轮.md:211,verdict,refuted,能改尺子的参数不可自动演化**（E10 的边界条件）——`任务集`/`效用权重`/`K` 必须人侧签名,能改尺子的参数不可自动演化**（E10的边界条件）——`任务集`/`效用权重`/`K`必须人侧签名
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:115,method,verified,大审查/混元/bootstrap_自演化推演_第三轮.md:115,parameter,verified,冷启动预算：50–80 条判断样本。** 这是一个下午的工作量，不是项目级投入,冷启动预算：50–80条判断样本。**这是一个下午的工作量，不是项目级投入
FIELD-DIFF,大审查/混元/混元交接验收报告-衔尾蛇线验收.md:22,method,verified,大审查/混元/混元交接验收报告-衔尾蛇线验收.md:22,parameter,verified,26 轮推演全记录**（bootstrap_自演化推演_第 1~26 轮.md）：比衔尾蛇线读过的 17 轮多出 9 轮,比衔尾蛇线读过的17轮多出9轮，新增E85~E123结论带
FIELD-DIFF,大审查/混元/bootstrap_自演化推演_第三轮.md:44,method,superseded,大审查/混元/bootstrap_自演化推演_第三轮.md:44,verdict,refuted,"元参数可以演化，**前提是它不能直接改变""自己被评判的结果""**。`margin`/`tol` 属于这一类（可演化）；`","元参数可以演化，**前提是它不能直接改变""自己被评判的结果""**。`margin`/`tol`属于这一类（可演化）；`任"
