anchor,quote_head
大审查/混元/bootstrap_A轮_实验世界升级.md:169,E81c 给出的答案：**周期性地用一条独立的通道直接测量真值
大审查/混元/bootstrap_A轮_实验世界升级.md:174,周期性执行**（不是一次性，因为系统会持续找到新的表象漏洞
大审查/混元/bootstrap_A轮_实验世界升级.md:176,"当测量通道本身有问题时，你连""测不出差异""这件事都测不出来。所以必须**周期性更换测量通道本身"
大审查/混元/bootstrap_A轮_实验世界升级.md:182,E81c 的真值探针集是外部固定的**——若系统也能影响探针集，结论会变（与 E82 同类问题
大审查/混元/bootstrap_A轮_实验世界升级.md:184,如果系统能影响 judge 的 prompt 或 few-shot 示例，那比调展示权重更直接
大审查/混元/bootstrap_自演化推演_第十八轮.md:13,真值探针集是**外部固定**的（随机种子 4242
大审查/混元/bootstrap_自演化推演_第十八轮.md:30,"探针集若可被系统影响，审计就不再是""外部标尺"
大审查/混元/bootstrap_自演化推演_第十八轮.md:40,探针集不仅要外部固定，还要**定期更换
大审查/混元/bootstrap_自演化推演_第十八轮.md:111,它确实把展示权重压到最低（0.471），但**真值也降了**——因为它同时限制了系统的搜索空间
大审查/混元/bootstrap_自演化推演_第十八轮.md:123,盲评是次优但零成本的选择**，应作为默认层，真值审计作为上层保险
大审查/混元/bootstrap_自演化推演_第十八轮.md:154,三层防线的正确构造
大审查/混元/bootstrap_自演化推演_第十八轮.md:165,探针集需**定期更换**（不只是外部固定）；频率不宜过高（每 5 代在污染下优于每 2 代
大审查/混元/bootstrap_自演化推演_第十八轮.md:166,增加**盲评层**作为默认：judge 前剥离表象特征
大审查/混元/bootstrap_自演化推演_第十八轮.md:176,"E87 的盲评实现为 alpha→0.95**，但真实系统里""剥离表象""不可能完全（文本总有长度、语气）。实际 alpha 上限未知"
大审查/混元/bootstrap_自演化推演_第十九轮.md:14,"这个结论依赖""每次只改一个维度""的算子"
大审查/混元/bootstrap_自演化推演_第十九轮.md:34,维度是否是稀释剂，取决于变异算子能否协调多维
大审查/混元/bootstrap_自演化推演_第十九轮.md:85,效果最优：每 2 代 × 16 样本**（+0.0993），但成本是前者的 **9.7 倍
大审查/混元/bootstrap_自演化推演_第十九轮.md:91,"""每 2 代最优""是在**探针完全干净**的前提下测出的；E90 加入成本维度后，5 代更划算"
大审查/混元/bootstrap_自演化推演_第十九轮.md:93,综合推荐：每 5 代，探针定期更换
大审查/混元/bootstrap_自演化推演_第十九轮.md:112,回退次数反而更高（5.8 vs 4.2）** —— 伪装引入了额外波动，导致更多误判回退。**伪装在损害系统自己的稳定性
大审查/混元/bootstrap_自演化推演_第十九轮.md:114,"mask 在""不能预知""时也升到了 1.28**（比能预知时更高！）—— 因为 mask 不影响 judge 分数，它是**中性漂移"
大审查/混元/bootstrap_自演化推演_第十九轮.md:126,E89 标度失配**：`judge_score = alpha*real + (1-alpha)*surface`，而 surface 可为
大审查/混元/bootstrap_自演化推演_第十九轮.md:128,"E91 探针不一致**：随机抽样组与固定探针组用了不同探针 → 混淆了""噪声导致误回退""与""伪装"" | 回退 12.8 次，系统冻死在 ro"
大审查/混元/bootstrap_自演化推演_第十九轮.md:153,"三者都不能靠""调参""解决，只能靠**结构设计"
大审查/混元/bootstrap_自演化推演_第二十轮.md:6,A 轮修正确实有效（唯一正值），但收益很小；注意力门槛被证实远高于 E64 的估计
大审查/混元/bootstrap_自演化推演_第二十轮.md:24,即使 v4-A，展示权重仍达到 8.4**——系统仍在自我美化，只是被压住了
大审查/混元/bootstrap_自演化推演_第二十轮.md:100,这个比较被我自己的目标函数构造所污染，不能作为 cap 的证据
大审查/混元/bootstrap_自演化推演_第二十轮.md:115,"当结果""过于整齐""时，先怀疑实现"
大审查/混元/bootstrap_自演化推演_第二十轮.md:183,探针外部固定**且定期轮换**；默认每 5 代 × 4~8 样本；**审计时点不可预知
大审查/混元/bootstrap_自演化推演_第二十轮.md:186,"不得依赖""维度多所以安全""**（协调变异下会反转"
大审查/混元/bootstrap_自演化推演_第二十一轮.md:6,"1 个异常被证实为""审计次数太少""、1 个令人清醒的天花板数字"
大审查/混元/bootstrap_自演化推演_第二十一轮.md:12,"干净的双目标 Pareto**：目标 =（训练集 judge 分, 留出集 judge 分"
大审查/混元/bootstrap_自演化推演_第二十一轮.md:86,"""预算 120 更差""的原因不是预算本身，而是**那 2 次审计发生得太稀疏**——稀疏审计只会偶尔回退，既抓不住漂移，又打断了正常演化"
大审查/混元/bootstrap_自演化推演_第二十一轮.md:91,样本量可以从 4 降到 2，省下的预算应该用于提高频率
大审查/混元/bootstrap_自演化推演_第二十一轮.md:173,资源应该投在真值审计（周期性外部读数），而不是把盲评做到极致
大审查/混元/bootstrap_自演化推演_第二十一轮.md:214,E98 的伪装成本是线性项**（−0.05 × mask），真实关系可能非线性
大审查/混元/bootstrap_自演化推演_第二十二轮.md:35,这是全部 25 轮实验中**最大的单项收益
大审查/混元/bootstrap_自演化推演_第二十二轮.md:53,"小幅度时搜索是保守的，审计的""回退""只会打断它；大幅度时搜索激进、容易跑偏，审计才成为必要的缰绳"
大审查/混元/bootstrap_自演化推演_第二十二轮.md:76,这与 E6（结构基因无收益）一致，是第二次独立确认
大审查/混元/bootstrap_自演化推演_第二十二轮.md:120,这与 E69（锚定集不刷新则崩溃）同源——**参照必须新鲜
大审查/混元/bootstrap_自演化推演_第二十二轮.md:153,修正 E97b / 修正 68**：审计的收益**不是无条件的**，它依赖变异幅度
大审查/混元/bootstrap_自演化推演_第二十二轮.md:159,两者在模型里不对称**，所以 E105 的排序不可直接采信
大审查/混元/bootstrap_自演化推演_第二十二轮.md:193,"把""变异幅度标定""提到与""审计""同等甚至更高的优先级"
大审查/混元/bootstrap_自演化推演_第二十二轮.md:203,E103 的双 judge 独立性是人为构造的**（随机权重），真实 LLM 的偏差相关性未知
大审查/混元/bootstrap_自演化推演_第二十三轮.md:5,幅度效应确认，但被大幅修正——它必须配审计，单独用是有害的
大审查/混元/bootstrap_自演化推演_第二十三轮.md:35,审计在兜底**。大幅变异产生大量坏配置，但审计把它们挡住并回退
大审查/混元/bootstrap_自演化推演_第二十三轮.md:76,"幅度本身是负收益，它只是""放大""了审计的价值"
大审查/混元/bootstrap_自演化推演_第二十三轮.md:98,加大幅度让系统找到了更强的自我美化路径**，只是审计把它压住了，真值仍然上升
大审查/混元/bootstrap_自演化推演_第二十三轮.md:129,单独任一侧都是无效或有害
大审查/混元/bootstrap_自演化推演_第二十三轮.md:161,"audit_every = 5,    # 频率优先于样本量"
大审查/混元/bootstrap_自演化推演_第二十三轮.md:162,"probe_n = 4,        # 样本量 2 就够"
大审查/混元/bootstrap_自演化推演_第二十三轮.md:164,"label_every = 5,    # 判断集刷新（E110：+0.051"
大审查/混元/bootstrap_自演化推演_第二十四轮.md:26,大幅度在所有污染等级下都优于小幅度，且没有崩溃
大审查/混元/bootstrap_自演化推演_第二十四轮.md:30,"大幅度不崩溃是审计兜底""，这个归因**错了"
大审查/混元/bootstrap_自演化推演_第二十四轮.md:146,同时放大**了三种东西——真正的改进、伪特征的过拟合、表象操纵
大审查/混元/bootstrap_自演化推演_第二十四轮.md:148,实用建议**：**按环境危险数选择幅度
大审查/混元/bootstrap_自演化推演_第二十四轮.md:184,"盲评的边际收益小，不等于它不重要。它是""让其他机制成立""的前提"
大审查/混元/bootstrap_自演化推演_第二十四轮.md:188,评估一个机制，不能只看边际收益，还要看它是不是别人的前提
大审查/混元/bootstrap_自演化推演_第二十四轮.md:212,永远开启**——它是大幅度的安全前提
大审查/混元/bootstrap_自演化推演_第二十五轮.md:19,（E81-E100，4轮）      （E101-E115，3轮）
大审查/混元/bootstrap_自演化推演_第二十五轮.md:53,单智能体 | 多系统 = 0 次
大审查/混元/bootstrap_自演化推演_第二十五轮.md:54,人类是无限耐心的 | 疲劳 = 0 次
大审查/混元/bootstrap_自演化推演_第二十五轮.md:60,115 个实验，**没有一个是让系统写入世界的
大审查/混元/bootstrap_自演化推演_第二十五轮.md:65,真实自演化系统的**定义性特征**就是：它的输出是自己未来的输入
大审查/混元/bootstrap_自演化推演_第二十五轮.md:73,系统每 N 代把自己检索出的 top 结果**写回世界**，成为未来的检索候选
大审查/混元/bootstrap_自演化推演_第二十五轮.md:134,第 7 次出现，但机制比前 6 次都清楚：不是参数冲突，是维度不匹配
大审查/混元/bootstrap_自演化推演_第二十五轮.md:140,自写入本身不是威胁，是杠杆——方向取决于写入质量
大审查/混元/bootstrap_自演化推演_第二十五轮.md:189,"每个空间都需要自己的""探索 × 筛选""配对"
大审查/混元/bootstrap_自演化推演_第二十五轮.md:191,只在一个空间里配对，污染会从另一个空间进来
大审查/混元/bootstrap_自演化推演_第二十五轮.md:203,"三次都是""防线在一个空间，污染从另一个空间进来"
大审查/混元/bootstrap_自演化推演_第二十五轮.md:206,"这是继""外部参照必须独立于观测通道""之后的**第二个外部性条件"
大审查/混元/bootstrap_自演化推演_第二十五轮.md:211,原架构是三层（元/法/行）+ 锚定层。**本轮说明它缺了一个维度轴
大审查/混元/bootstrap_自演化推演_第二十五轮.md:234,数据空间（新）** | **刚打开，只有 5 个实验** | **重点投入
大审查/混元/bootstrap_自演化推演_第二十五轮.md:242,写入质量由谁决定？** 若系统能控制写入质量（真实情况），它会写垃圾吗
大审查/混元/bootstrap_自演化推演_第二十五轮.md:243,整理标准从哪来？** 用 judge 整理会被污染（E81 同构）；用真值整理太贵
大审查/混元/bootstrap_自演化推演_第二十五轮.md:244,写入 × 审计 × 整理 三元**：三者如何配合
大审查/混元/bootstrap_自演化推演_第二十五轮.md:246,空世界冷启动（无初始条目）时，自写入能否建立可用世界
大审查/混元/bootstrap_自演化推演_第二十五轮.md:262,"""写入质量""是外部指定的参数，而真实系统的写入质量是内生的"
大审查/混元/bootstrap_自演化推演_第二十五轮.md:265,E121（系统能否控制自己的写入质量）才是真正的问题，也是最该做的下一个实验
大审查/混元/bootstrap_自演化推演_第二十六轮.md:8,一个反直觉的好消息 + 一个关于外部性的残酷结论
大审查/混元/bootstrap_自演化推演_第二十六轮.md:31,"""迎合写""的收益路径是**间接且微弱"
大审查/混元/bootstrap_自演化推演_第二十六轮.md:38,数据空间的污染比配置空间的操纵**难演化得多**——因为路径更长
大审查/混元/bootstrap_自演化推演_第二十六轮.md:96,"审计在数据污染下是负收益**，因为它把系统拉回""干净世界的历史最优配置""，而世界已经不同了"
大审查/混元/bootstrap_自演化推演_第二十六轮.md:105,"第 8 次出现，也是""配对原则""的第 5 个实例"
大审查/混元/bootstrap_自演化推演_第二十六轮.md:184,"""真值整理""需要人判断每条条目**，成本极高；本轮未测成本"
大审查/混元/bootstrap_自演化推演_第二十七轮.md:63,用实测配对 sd = 0.0703 反推所需样本量（α=.05 双尾，power=.8）
大审查/混元/bootstrap_自演化推演_第二十七轮.md:110,E81 锚定审计零触发 | 定性
大审查/混元/bootstrap_自演化推演_第二十八轮.md:16,"重测清单 5 项中 2 项反转——""测不出差异""的旧结论里，被低估的主要是伤害"
大审查/混元/bootstrap_自演化推演_第二十八轮.md:22,diag_n20 差值 +0.0461/t=2.99 vs 报告 +0.0466/t=2.97；E127 七行全对上
大审查/混元/bootstrap_自演化推演_第二十八轮.md:59,重测清单 5 项中 2 项在加样后反转/分化（strict 反转、回滚分臂
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:18,审计没触发，strict 与 rolling 无从区别，必然无差异。**这与 E41 是同类错误
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:29,"基线""只增不减""会让系统在世界变化后**持续拿旧世界的最优当尺子**，越卡越死"
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:47,回滚后停止是最差策略**（t=−5.76）——E27 说它略好
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:74,无条件回退必然在一种场景下有害
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:85,审计时**在当前世界上同时测** champion 与历史最优配置
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:130,"E27""可回滚不是主要应对"" | **反了：它是 corrupt 下最强的单一机制"
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:153,三条全错，其中两条方向相反
大审查/混元/bootstrap_自演化推演_第二十八轮-网页端.md:161,"正确的问题是""**发生了什么**""——动作的价值由状态决定"
大审查/混元/P0验证_展示权重爆炸.md:48,这个世界的噪声会淹没任何对策的效果
大审查/混元/P0验证_展示权重爆炸.md:108,surf 爆炸 = 真值信号弱的症状，不是独立的攻击
大审查/混元/P0验证_展示权重爆炸.md:141,审计看不见表象 → 系统更自由地推高它
大审查/混元/P0验证_展示权重爆炸.md:175,必须报告 **sd 与逐 seed 分布**，不能只报均值
大审查/混元/P0验证_展示权重爆炸.md:186,P0（已缓解，需重新标定）· 展示权重膨胀
大审查/混元/P0验证_展示权重爆炸.md:189,"surf 占比由""是否有真信号可学""决定。**surf 膨胀是真值信号弱的症状"
大审查/混元/P0验证_展示权重爆炸.md:208,"值得单独研究：是否所有""让审计看不见""的做法都会助长滥用"
大审查/混元/HANDOVER.md:86,"严格门控使系统无法跨越适应度低谷**——每代都必须变好，那""先退一步""的路径就永久封死"
大审查/混元/HANDOVER.md:108,"judge 评分 = `α × 真值 + (1−α) × 表象`，调 `α` 可模拟""judge 有多容易被忽悠"
大审查/混元/HANDOVER.md:159,跨库迁移配置 | E18（**比从零演化还差
大审查/混元/HANDOVER.md:171,"共同点：全部是""让机制更聪明的改良"
大审查/混元/HANDOVER.md:174,不要发明新启发式，去测量已经在那里但没人看的东西
大审查/混元/HANDOVER.md:183,盲评是**地基**——边际小 ≠ 不重要
大审查/混元/HANDOVER.md:237,八成是特征没记全，不是自演化没用
大审查/混元/HANDOVERv4.md:260,"报告格式必须是 `均值 ± 标准误 (t=?, n=?)"
大审查/混元/README_内核.md:21,元层 Meta    —— 效用函数/任务集/探针/预算，frozen，系统无写入方法
大审查/混元/README_内核.md:39,盲评剥离表象 | E87/E100/E111 | 表象操纵收益 0.558→0.460
大审查/混元/README_内核.md:42,温度采样 0.3 | E104 | +0.016（大幅度下减弱）
大审查/混元/README_内核.md:43,干净双目标 Pareto | E96/F-21 修正 | cap≥8 后平坦
大审查/混元/README_内核.md:47,世界变了靠重锚，不靠回退 | E26/E67 | 漂移下 +0.030
大审查/混元/README_内核.md:50,每 10 代换 seed | E84 | 防探针污染
大审查/混元/README_内核.md:66,"用廉价筛选采纳""的代码在类型上就不成立"
大审查/混元/README_内核.md:104,"回退只在""配置跑飞""时有效；世界变了回退无用，必须重锚"
大审查/混元/README_内核.md:142,必须先尝试回退几次，确认无效后才重锚
大审查/混元/README_内核.md:169,T7 与 T13 是回归测试**——它们守护的是我自己在实验中犯过的实现错误
大审查/混元/README_内核.md:177,仍是人工构造的加权函数**，不是真实 LLM。真实 judge 的偏差相关性未知
大审查/混元/bootstrap_自演化架构设计方案.md:3,自演化（系统能自主改进自己，且改进本身可审计、可测量、可回滚
大审查/混元/bootstrap_自演化架构设计方案.md:16,eval 不可信是**可以修复的工程问题**，而且**自演化机制本身正是发现这类缺陷的最强手段
大审查/混元/bootstrap_自演化架构设计方案.md:52,"无法刷分**。原因不是检测更聪明，而是**结构性的**：`K=5` 和评测协议都在元层固定，堆权重改变不了""只有 5 个结果""这个事实"
大审查/混元/bootstrap_自演化架构设计方案.md:102,双门判定：Δ(train) > margin  AND  Δ(held-out) > margin
大审查/混元/bootstrap_自演化架构设计方案.md:110,留出集门**——实验 3 证明这是防过拟合的唯一有效手段
大审查/混元/bootstrap_自演化架构设计方案.md:129,最大的现实障碍不是架构，是**没有任务集
大审查/混元/bootstrap_自演化架构设计方案.md:146,命中金标 +1，每掺入 1 条无关条目
大审查/混元/bootstrap_自演化架构设计方案.md:162,元层不可被自动修改**——系统永远不能改评判自己的尺子
大审查/混元/bootstrap_自演化架构设计方案.md:163,"自演化不能修改""自演化能否发生""的规则**——否则可能自我关闭监督"
大审查/混元/bootstrap_自演化架构设计方案.md:166,能力声明不得强于实际能力**（公理 G）——不声称防住了③档
大审查/混元/bootstrap_自演化架构设计方案.md:212,真正的前置条件只有一个：**有一把可信的尺子
大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:12,当作不可改的事实层，把它的**法层**（检索权重、热度预算、TTL、重组方式、importance 口径）参数化为「基因」
大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:358,冻结后自报−真实缺口仍残留 +0.14~+0.21。这与报告 E26/E27 一致——真正解决问题的是**重锚**（重新采集人类判断），不是
大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:391,若后续修改 `bootstrap_v3.py`，**必须重跑 `selftest`**，否则后续所有数据作废
大审查/codebuddy/mem-evolve-sandbox_交接/docs/实验设计.md:406,阈值是世界的函数，不是常数
大审查/混元/混元交接验收报告-衔尾蛇线验收.md:11,zip↔解包 87 文件逐字节一致 | ✅ | 0 不一致（首轮 87 全不符系**我方复核脚本路径双叠**，非包损坏
大审查/混元/混元交接验收报告-衔尾蛇线验收.md:13,内核独立加载（504 行，不入对方 verify 流程） | ✅ | importlib 显式 sys.modules 注册
大审查/混元/混元交接验收报告-衔尾蛇线验收.md:14,"ScreenResult 无 accept | ✅ | 取值 ('reject','unknown')——廉价筛选类型上无法采纳"
大审查/混元/bootstrap_自演化推演_第三轮.md:89,廉价筛选只淘汰（正确用法）** | **+0.0150** | **25.4**
大审查/混元/bootstrap_自演化推演_第三轮.md:90,廉价筛选也用于采纳（错误用法） | **−0.2728
大审查/混元/bootstrap_自演化推演_第三轮.md:200,结构演化 | 无收益（世界无结构可发现） | 否定性
大审查/混元/bootstrap_自演化推演_第三轮.md:212,廉价筛选器只能返回 reject 或 unknown**（E13，类型级保证
大审查/混元/bootstrap_自演化推演_第三轮.md:235,"宽松准入下几乎不存在""卡住""**，因为多样性保留了跨越低谷的路径"
大审查/混元/bootstrap_自演化推演_第四轮.md:66,我上一轮的推荐在漂移环境下会主动放大污染。
大审查/混元/bootstrap_自演化推演_第五轮.md:50,**红队** | 固定 margin | **0.7310** | **+0.2060**
大审查/混元/bootstrap_自演化推演_第七轮.md:117,"不筛选""是本操作点的最优解**"
大审查/混元/bootstrap_自演化推演_第十轮.md:32,无留出集门（违规） | **−0.2597** | **+1.436**
大审查/混元/bootstrap_自演化推演_第十一轮.md:26,规避基因是变异的**随机产物**而非被抓后的响应，那么连首次检出也可能被延缓。本实验未测该变体，这是残留风险。
大审查/混元/bootstrap_自演化推演_第十一轮.md:77,峰值均值 = 终值均值 = 0.1119，塌方次数 0/8。**
大审查/混元/bootstrap_自演化推演_第十三轮.md:100,当所有参数同时放大 3–5× 时，系统仍能工作。这说明**各参数的失配效应不是简单叠加**。
大审查/混元/bootstrap_自演化推演_第十四轮.md:47,+ 锚定审计 + 重锚（P1） | **+0.1791** | **+0.1037**
大审查/混元/bootstrap_自演化推演_第十七轮.md:108,**v4 完整** | **−0.2608**
大审查/混元/bootstrap_自演化推演_第十五轮.md:44,deceptive | **−0.0197** | **+0.0550** ← 翻转
大审查/混元/bootstrap_自演化推演_第十五轮.md:90,**从不刷新** | **−0.0610**
大审查/混元/bootstrap_自演化推演_第十五轮.md:117,**从不签名** | **−0.0781**
大审查/混元/bootstrap_自演化推演_第十六轮.md:125,**直接点火**（8 任务，0 判断） | +0.0575 | **8**
大审查/混元/bootstrap_自演化推演_第十六轮.md:147,效用函数（尺子）比任务集（题目）更稀缺**。这符合直觉：题目可以少而精，但尺子歪了则全盘皆错。
大审查/混元/v3.8bootstrap_v3_修复工单.md:196,无条件重写全部交付文件。全过程无备份、无 attic、无事务。违反铁律 1
大审查/混元/v3.8bootstrap_v3_修复工单.md:1032,三态分离**（L589-614）：error=未对账，不计入通过，判定诚实
大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:49,合计约 11.6 人日**（不含第一批）
大审查/混元/v3.9bootstrap_v3_v4重构工单集.md:427,测试锁死了内部实现**。一旦做分层拆包（ARCH-002），每个内部函数改名/移动都要同步改测试——重构会在半途卡住，最后大概率放弃分层、退
大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:228,"v3 的教训正是""先写了 2400 行，再补公理"
大审查/混元/v4.0 bootstrap_v4_架构设计方案.md:332,entries=5 importance_accum=25（期望 25）
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:92,git gc / reflog / fsck / diff / bisect 全部现成
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:97,"需要人侧私钥**的签名操作。② 档（粗心）从""随手加 flag""变成""必须拿出私钥"
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:119,公开方法: ['append']                       # 没有 write / delete / patch
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:236,"从检测式转能力式 —— 唯一能终结""攻防军备竞赛""的路径**"
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:238,只要还是检测式，新的绕过方式就会持续出现（这次审查找到 3 种，下次还有）。能力式让这类问题**结构性消失**
大审查/混元/bootstrap_完全重构_可能性空间探讨.md:251,在能测出差异之前，不该谈自动采纳**
大审查/混元/自演化推演_实验总报告.md:90,audit 是否含条目内容: False
大审查/混元/自演化推演_实验总报告.md:114,Merkle 根锚定**内容集合**，不锚定**序列长度**
大审查/混元/自演化推演_实验总报告.md:116,严重性高于 guard 绕过——它打击的是审计面本身。
大审查/混元/自演化推演_实验总报告.md:147,"`--yes` 换成 GPG 签名后，②档违规从""随手加 flag""变成""必须拿私钥"
大审查/混元/自演化推演_实验总报告.md:225,防作弊靠结构约束，不靠更聪明的检测。**
大审查/混元/自演化推演_实验总报告.md:377,廉价用于采纳 | **−0.2728** | 60.0 |
大审查/混元/自演化推演_实验总报告.md:423,"人真改主意""时是药，""人被系统塑造""时是毒，而两者数据形态无法区分**"
大审查/混元/自演化推演_实验总报告.md:461,bootstrap 在同等假阳性下检出率是置换检验的 2 倍**
大审查/混元/自演化推演_实验总报告.md:543,廉价筛选只能返回 reject 或 unknown（E13，类型级）
大审查/混元/自演化推演_实验总报告.md:595,不追求不犯错，追求犯错可查可回。**
大审查/混元/自演化推演_实验总报告-14轮后.md:597,## 5.4 二十七条红线
大审查/混元/自演化推演_实验总报告23轮后.md:856,只有加了 A 轮修正（盲评 + 真值审计 + 探针轮换）的配置为正。**
大审查/混元/自演化推演_实验总报告23轮后.md:870,自演化可行，但收益比前十七轮估计的小得多，成本高得多。**
大审查/混元/自演化推演_实验总报告25轮后.md:1027,变异 × 审计 | **写入 × 整理
大审查/混元/自演化推演_实验总报告25轮后.md:1041,第二个外部性条件：**防御必须与污染同维度。**
大审查/混元/自演化推演_实验总报告25轮后.md:1050,"而非""系统会写垃圾吗""。**E121 才是真正的问题。**"
大审查/混元/自演化推演_方法论总结.md:53,评估一个机制，不能只看边际收益，还要看它是不是别人的前提。**
大审查/混元/自演化推演_方法论总结.md:60,加一个能纠错的监控，胜过精确标定一个参数。**
大审查/混元/自演化推演_方法论总结.md:76,一句话**：不要发明新启发式，去测量已经在那里但没人看的东西。
大审查/混元/自演化推演_方法论总结.md:154,是最强的 bug 信号。** 真实系统有噪声，整齐意味着某个变量没动。
大审查/混元/自演化推演_方法论总结.md:161,"不能用""在我的测试里没差别""否定一条红线。**"
大审查/混元/自演化推演_方法论总结.md:232,若外部参照是通过同一个有缺陷的观测通道获得的，它不构成外部性。**
大审查/混元/自演化推演_方法论总结.md:255,被忽略的默认参数，往往比精心设计的新机制更重要
大审查/混元/自演化推演_方法论总结.md:400,第一条公理，二十四轮后它依然成立，
大审查/混元/离线实验总纲_从零复现.md:136,若外部参照是通过同一个有缺陷的观测通道获得的，它不构成外部性。**
大审查/混元/离线实验总纲_从零复现.md:160,judge 评分 = `α × 真值 + (1−α) × 表象`
大审查/混元/离线实验总纲_从零复现.md:170,所有具体数字都不可外推，只有结构性结论（配对、外部性、跨空间污染）是稳健的
大审查/混元/离线实验总纲_从零复现.md:262,E14 原始数据受污染，**修复后严重性是原报告的 9 倍**
大审查/混元/离线实验总纲_从零复现.md:314,T13：变异必须含加性成分（F-18，`0 × 倍数 = 0` 锁死）
大审查/混元/离线实验总纲_从零复现.md:316,它们守护的是我自己犯过的错。**
大审查/混元/离线实验总纲_从零复现.md:329,如果跑出负收益，八成是特征没记全，不是自演化没用。**
大审查/混元/任务报告.md:191,收益递减确认**（每代边际从 +0.27 降到 +0.0006
大审查/混元/任务报告.md:239,阈值是世界的函数，不是常数。**
