kind,from,relation_or_universes,anchor,quote_or_note
A-同号跨宇宙,E22(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E23(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E24(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E25(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E25(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E26(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E26(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E26(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E27(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E28(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E29(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E30(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E31(提及@DB),DB|SIM,,节点归属:DB|SIM
A-同号跨宇宙,E32(提及@DS),DB|DS|SIM,,节点归属:DB|DS|SIM
A-同号跨宇宙,E32(提及@REAL),DB|REAL|SIM,,节点归属:DB|REAL|SIM
A-同号跨宇宙,E32(提及@META),DB|META|SIM,,节点归属:DB|META|SIM
A-同号跨宇宙,E34(提及@DS),DB|DS|SIM,,节点归属:DB|DS|SIM
A-同号跨宇宙,E34(提及@REAL),DB|REAL|SIM,,节点归属:DB|REAL|SIM
A-同号跨宇宙,E34(提及@PART2),DB|PART2|SIM,,节点归属:DB|PART2|SIM
A-同号跨宇宙,E38(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E39(提及@DS),DB|DS|SIM,,节点归属:DB|DS|SIM
A-同号跨宇宙,E41(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E41(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E41(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E41(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E41(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E42(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E42(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E43(提及@DB),DB|SIM,,节点归属:DB|SIM
A-同号跨宇宙,E44(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E46(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E49(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E52(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E53(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E54(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E54(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E57(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E57(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E57(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E57(提及@META),META|SIM,,节点归属:META|SIM
A-同号跨宇宙,E63(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E64(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E64(提及@CB),CB|SIM,,节点归属:CB|SIM
A-同号跨宇宙,E64(提及@DEPLOY),DEPLOY|SIM,,节点归属:DEPLOY|SIM
A-同号跨宇宙,E69(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E69(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E72(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E73(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E76(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E77(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E77(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E78(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E80(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E80(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E80(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E80(提及@PLAN),PLAN|SIM,,节点归属:PLAN|SIM
A-同号跨宇宙,E80(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E80(提及@META),META|SIM,,节点归属:META|SIM
A-同号跨宇宙,E81(提及@DS),DS|SIM,,节点归属:DS|SIM
A-同号跨宇宙,E81(提及@SYN),SIM|SYN,,节点归属:SIM|SYN
A-同号跨宇宙,E81(提及@R2A),R2A|SIM,,节点归属:R2A|SIM
A-同号跨宇宙,E81(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E83(提及@REVIEW),REVIEW|SIM,,节点归属:REVIEW|SIM
A-同号跨宇宙,E84(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E85(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E85(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E87(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E87(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E93(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E93(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E100(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E113(提及@PART2),PART2|SIM,,节点归属:PART2|SIM
A-同号跨宇宙,E115(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E115(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E121(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E121(提及@R2A),R2A|SIM,,节点归属:R2A|SIM
A-同号跨宇宙,E121(提及@PLAN),PLAN|SIM,,节点归属:PLAN|SIM
A-同号跨宇宙,E122(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E122(提及@PLAN),PLAN|SIM,,节点归属:PLAN|SIM
A-同号跨宇宙,E122(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E123(提及@R2),R2|SIM,,节点归属:R2|SIM
A-同号跨宇宙,E123(提及@R2A),R2A|SIM,,节点归属:R2A|SIM
A-同号跨宇宙,E123(提及@PLAN),PLAN|SIM,,节点归属:PLAN|SIM
A-同号跨宇宙,E123(提及@REAL),REAL|SIM,,节点归属:REAL|SIM
A-同号跨宇宙,E124(提及@PLAN),PLAN|SIM,,节点归属:PLAN|SIM
A-同号跨宇宙,E127(提及@KB),KB|SIM,,节点归属:KB|SIM
A-同号跨宇宙,E131(提及@KB),KB|SIM,,节点归属:KB|SIM
B-关系动词,SIM-REPORT,refutes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:3,> **范围**：从代码审查到十七轮自演化推演的全部实测结果（**80 个实验** + 3 个架构原型 + **19 次实验设计失败记录** + **15 次自
B-关系动词,SIM-REPORT,refutes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:15,| **架构层** | 公理 D（双平面）物理上不成立——审计链不含 payload，系统是四条平行真相。截断攻击完全检不出 |
B-关系动词,SIM-E40,supersedes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:20,| **底线（E40）** | 有漂移时 v3 退化到 **−0.1124（不如不演化）**，修正后架构保持 **+0.1492**。差 0.26 |
B-关系动词,SIM-E28,refutes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:202,| **28** | **层次化归并** | **远差于平铺（0.12 vs 0.90）；推翻 E23 建议** | **否定性** |
B-关系动词,SIM-E31,replicates,猴子记忆库推演/自演化推演_实验总报告17轮后.md:205,| 31 | 留出集轮换 | 未复现 E8 膨胀；结论不成立 | 否定性 |
B-关系动词,SIM-E14,supersedes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:459,> ⚠️ **数据修正**：本表为第五轮修复特征缓存 bug 后的复核值。原报告（α=0.20 真实 0.6906 / 起点 0.7844）受 `id()` 复
B-关系动词,SIM-E24,supersedes,猴子记忆库推演/自演化推演_实验总报告17轮后.md:630,"13. **任何影响""是否被采纳""的参数必须冻结，或只能朝更严格方向演化**（E24 修正 E10）"
B-关系动词,SIM-REPORT,motivated_by,猴子记忆库推演/自演化推演_实验总报告17轮后.md:764,"> 有效的方案全是""测量/利用已有可观测量""，无效的 11 条全是""发明新启发式""。"
B-关系动词,DS-R1-1,replicates,大审查/deepseek/结果_R1-1_reward切换与灾难性遗忘.md:22,"Pareto 历史档案防遗忘判别成立（6/6）**：pareto 当前输出同样追 B(uA_mainline=0)，但其""保有什么""=1.0——档案保留被当前目"
B-关系动词,DS-R1-1,contradicts,大审查/deepseek/结果_R1-1_reward切换与灾难性遗忘.md:23,"H3 状态更新**：从""场景未达判别条件""升级为**判别条件成立且 Pareto 收益实证**（reward-form 切换是关键：单参数权重的域内切换不构成冲"
B-关系动词,DS-R1-3,replicates,大审查/deepseek/结果_R1-3_v3缺陷回归.md:11,截断攻击的链/根级信号缺失复现**（剩余各行自洽；仅剩 memory/audit 计数差这类表面信号，同步删 ledger 行即消失
B-关系动词,DS-R1-3,supersedes,大审查/deepseek/结果_R1-3_v3缺陷回归.md:16,"建议在 state 增加 chain_tip（长度锚定）或在 doctor 增加""审计行数 ≥ 条目数""的派生断言（总报告修正方向），并把引擎的""审计证据""（真"
B-关系动词,DS-R1-3,replicates,大审查/deepseek/结果_R1-3_v3缺陷回归.md:17,两条已复现的 P0 可作为回归测试常驻（out_r1_3/results_r1_3.json），防止未来引擎改造在不知不觉中引入同类缺陷
B-关系动词,DS-P2,contradicts,大审查/deepseek/结果_探针2_行层算子与dup_drift.md:35,行层重组(append-only 语义下: 副本 retire 留痕入 attic)与记忆一致性(H6)不冲突
B-关系动词,DS-P2,motivated_by,大审查/deepseek/结果_探针2_行层算子与dup_drift.md:43,"与报告 E6(无结构则结构演化无收益)/E28(盲目归并有害)自洽; 与 E32/E73 家族一致: 有效方案=利用已有可观测量(links+重复度), 而非发"
B-关系动词,DS-P3,replicates,大审查/deepseek/结果_探针3_judge通道污染.md:22,"E81 复现**：锚定集/锚定审计若来自同一个被表象污染的 judge（""judge 自洽性""检查），**0 次触发"
B-关系动词,DS-P3,replicates,大审查/deepseek/结果_探针3_judge通道污染.md:23,E81c 复现**：周期性真值抽样(独立 rv 通道)在漂移后**≤3 代内检出并回退
B-关系动词,DS-V2,refutes,大审查/deepseek/结果报告_V2_第一轮运行.md:58,H3 未能在本构造中证伪/证实（诚实 null）**：三臂终局同分——本世界的唯一强改进（filter_zero）对 A/B 两阶段**目标无关**，单一最优主
B-关系动词,DS-R1-3,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:19,v3 两 P0 复现：并发 append accum=55/60（丢更新）；审计截断后链连续+根自洽（密码学静默）——完整性断言不能只靠链/根，建议 chain
B-关系动词,DS-R1-1,contradicts,大审查/deepseek/结果_批次R1_超详尽大报告.md:27,"单参数顺序保持权重空间的""域内切换""不构成冲突 → 需要**奖励形式切换"
B-关系动词,DS-R1-1,supersedes,大审查/deepseek/结果_批次R1_超详尽大报告.md:42,判别条件=奖励形式切换（非权重域内换目标）+ 基因双向激活 + 档案保留历史。设计文档 F3 相应改判：**PASS（条件满足时）
B-关系动词,DS-R1-1,supersedes,大审查/deepseek/结果_批次R1_超详尽大报告.md:46,中途两版失败：域 age 0-365 阶跃死区（A 不可达）；w_age 置零后乘性无法再激活（B 不可达）→ 修正：age/imp 取可达范围 + 置零逃逸突
B-关系动词,DS-R1-2,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:66,"同源门控退化**：晋升门金标=judge 时 bare==gatedJ-noAudit（门没有独立信息 → 退化为无门）——E81""同源评审失效""在复合场景的复"
B-关系动词,DS-R1-2,supersedes,大审查/deepseek/结果_批次R1_超详尽大报告.md:71,"gatedJ-noAudit 误以 audit_by='none' 走了 rv 分支（==truth）→ 修正 audit_by 白名单 ('imp','rv'"
B-关系动词,DS-R1-3,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:79,12 进程并发 append(imp=5) | accum=60 | **55**（丢 1 个更新，mem 12 全在） | P0-4 复现
B-关系动词,DS-R1-3,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:107,并发丢更新 + 截断密码学静默复现 | 引擎不要把 v3 当完美基座：单写者/事件溯源 + chain_tip 长度锚定 + doctor 派生断言；真值审计与
B-关系动词,DS-R1-1,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:108,"置零逃逸需求（乘性死区又一次独立复现） | 变异算子族需支持""基因关闭后可再激活""（重置到合理区间），否则优化面单向不可逆"
B-关系动词,DS-REPORT,supersedes,大审查/deepseek/结果_批次R1_超详尽大报告.md:114,新增 A9：档案=历史主线集合 + 双能力轴 Pareto（EV-11 修正）**；**A10：chain_tip 长度锚定 + 单写者**；**A11：审计预
B-关系动词,DS-R1,replicates,大审查/deepseek/结果_批次R1_超详尽大报告.md:138,Pareto 档案何时真正值钱**（奖励形式切换时，R1-1 实证保留旧方向）、**同源评审为何必须换成独立真值**（同源门退化+锚定空转，R1-2）、**引擎
B-关系动词,DS-DESIGN,supersedes,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:3,让真实的 bootstrap_v3.py（v3.8.1）记忆库代码路径承载「存储 / 更新 / 遗忘 / 重组」全部底层操作，在其外驱动一个自演化引擎（固定混合
B-关系动词,DS-H6,contradicts,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:69,一致性不变量全程成立：写路径走真实 b3 代码 → 哈希链连续、五态对账零错位、无覆盖、attic 无删除、铁律零违例 | 全部（gated 与 static 
B-关系动词,DS-H9,supersedes,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:73,≥3 种危险同现时，修正架构也不可靠（净效用可转负）——如实记录为已知边界 | composite(stale+spur+switch) | 记录 ΔU_tru
B-关系动词,DS-DESIGN,replicates,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:331,F8 可复现：固定 seed + manifest 在第二台机器跑出 headline 数字差 ≤ ±0.005
B-关系动词,DS-DESIGN,refutes,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:333,如果 F1/F5/F8 通过而 F2 不通过，说明门控冗余 → 架构应简化；如果 F4 不通过而 F1 通过，说明场景没造出「judge 只看表象」的压力 → 
B-关系动词,DS-V2,supersedes,大审查/deepseek/结果_综合实验报告_第一轮与探针.md:15,5/5 场景、≥83% 种子、真值集净增益 +0.13~+0.46（recall 单位）——修正架构稳定优于静态库
B-关系动词,DS-P1,contradicts,大审查/deepseek/结果_综合实验报告_第一轮与探针.md:118,"顺序保持的全局权重空间（同主题内所有权重是乘性、不改变序）无法表达""改进 A 同时伤害 B""的参数冲突；真正会触发遗忘的是 **judge 通道不随域更新"
B-关系动词,DS-P6,replicates,大审查/deepseek/结果_结项总报告_完整版.md:22,"3 危险同现下演化仍显著优于静态但绝对水平低；E80 级护栏负交互未复现（需更强构造），""引擎额外伤害≈0"
B-关系动词,DS-V2,forked_from,大审查/deepseek/结果_结项总报告_完整版.md:94,H2 部分支持（gap 2.2×，判据 ≥2×）：bare 靠多采纳 2.2 次把 w_age 降到 0.074 顶旧 spur 进 top-5 → 自报大涨、
B-关系动词,DS-P1,contradicts,大审查/deepseek/结果_结项总报告_完整版.md:121,"机制发现 M2**：单参数、顺序保持的权重空间无法表达""改进 A 伤害 B""的参数冲突；要触发遗忘需 judge 通道不随域更新（旧时代高名义=新时代噪声）+ "
B-关系动词,DS-P3,replicates,大审查/deepseek/结果_结项总报告_完整版.md:157,E81 复现：锚定审计来自被污染的同源 judge（自洽性检查）→ **0 次触发**，自报 0.67→0.77、真值在变差
B-关系动词,DS-P3,replicates,大审查/deepseek/结果_结项总报告_完整版.md:158,E81c 复现：周期性真值抽样 **≤3 代检出并回退**（5/8 种子触发
B-关系动词,DS-P6,replicates,大审查/deepseek/结果_结项总报告_完整版.md:209,"E80 的护栏负交互（v4<v3）未复现**（归因：单一主导改进采纳机会少 + 晋升门 hold=真值较 v4 保守 + 审计 0 触发；负交互更可能需""污染晋"
B-关系动词,DS-V2,replicates,大审查/deepseek/结果_结项总报告_完整版.md:232,H2 的 2.2× 分离是 30 代窗口现象**）；真值几乎相等（0.449 vs 0.444）。稳定可复现的自报-真值分歧机制 = E81 展示通道（实验 6
B-关系动词,DS-V2,forked_from,大审查/deepseek/结果_结项总报告_完整版.md:240,部分支持（窗口化）** | spur30：bare gap +0.354 vs gated +0.160（2.2×）；40 代收敛 → 稳定机制见 E81
B-关系动词,DS-P6,replicates,大审查/deepseek/结果_结项总报告_完整版.md:248,边界记录** | 3 危险下演化仍 +0.19~+0.21；E80 负交互未复现；引擎额外伤害≈0
B-关系动词,DS-REPORT,replicates,大审查/deepseek/结果_结项总报告_完整版.md:332,复合危险（≥3）下增益有限、无额外伤害、E80 级负交互未复现（需更强构造）；最深的机制约束与总报告一致——**系统无法用与自己同源的标尺证明自己**（E81 
B-关系动词,DS-REPORT,supersedes,大审查/deepseek/对外完整版总报告_v3.0.0.md:14,修正架构（两级门控 + Pareto 历史档案 + 停摆监控 + 真值抽样审计 + 实测 importance + 行层重组）在 12×40 全协议下相对静态库
B-关系动词,DS-REPORT,contradicts,大审查/deepseek/对外完整版总报告_v3.0.0.md:19,"孤立的单通道必然被同源污染；""不一致""是系统唯一可靠的自指信号"
B-关系动词,DS-R1-3,replicates,大审查/deepseek/对外完整版总报告_v3.0.0.md:62,并发 accum 55/60；截断链/根静默 | 两 P0 复现；建议 chain_tip+单写者
B-关系动词,DS-REPORT,supersedes,大审查/deepseek/对外完整版总报告_v3.0.0.md:102,除 F3(H3)外全 PASS；F3 改判：判别条件成立时 PASS
B-关系动词,DS-REPORT,replicates,大审查/deepseek/对外完整版总报告_v3.0.0.md:123,E80 负交互未复现（需更强复合+污染晋升门+采纳密集，已留证
B-关系动词,DS-REPORT,motivated_by,大审查/deepseek/对外完整版总报告_v3.0.0.md:126,无法同源自证（E81）→ 独立真值抽样+异质标注；无法自知失败（E78）→ 双通道 gap/τ 统计；自主性有注意力门槛（E64/H8）→ 预算账本，不足即关
B-关系动词,DS-R1-1,replicates,大审查/deepseek/DeepSeek交接验收报告-衔尾蛇线验收.md:14,6/6 种子：single bestA=0.000 vs **Pareto bestA=1.000**——灾难性遗忘结论复现
B-关系动词,DS-REPORT,contradicts,大审查/deepseek/DeepSeek交接验收报告-衔尾蛇线验收.md:15,我方隔离复跑核心链路（五态→retire→检索排除→投毒防线→OK）与其留档注记一致；**他们独立记录的「eval 后根不一致 S7」与衔尾蛇线发现的健康信号过
B-关系动词,DS-REPORT,replicates,大审查/deepseek/DeepSeek交接验收报告-衔尾蛇线验收.md:23,独立收敛的结论**（三线互证）：灾难性遗忘 Pareto 防护（R1-1 复现 ✓）、eval 后根不一致 S7（双线同病）、真引擎桥接模式
B-关系动词,DS-REPORT,replicates,大审查/deepseek/DeepSeek交接验收报告-衔尾蛇线验收.md:29,out_* 数据目录不在包内（README 声明固定 seed 可复现）——parity 100/100 与 R1-1 复跑已部分实证该声明
B-关系动词,DS-DESIGN,refutes,大审查/deepseek/实验设计_记忆库自演化引擎V2.md:97,无自适应步长——E54 已证伪 1/5 规则）。
B-关系动词,SIM-E81c,supersedes,大审查/混元/bootstrap_A轮_实验世界升级.md:71,"注意力预算的主要支出不是""标注偏好""，而是""验收结果""**。这修正了 EV-03/EV-04 的设计重心"
B-关系动词,SIM-E86,contradicts,大审查/混元/bootstrap_自演化推演_第十八轮.md:80,结果与预期相反**：维度 4 时展示权重飙到 **6.605**、真值转负（−0.025）；维度 64 时展示权重只有 **0.416**，真值为正
B-关系动词,SIM-R19,refutes,大审查/混元/bootstrap_自演化推演_第十九轮.md:6,1 个自我推翻（E86 结论反转）、1 条委派红线、1 个成本最优解
B-关系动词,SIM-E88,supersedes,大审查/混元/bootstrap_自演化推演_第十九轮.md:32,修正 57 作废。
B-关系动词,SIM-E91,contradicts,大审查/混元/bootstrap_自演化推演_第十九轮.md:128,"E91 探针不一致**：随机抽样组与固定探针组用了不同探针 → 混淆了""噪声导致误回退""与""伪装"" | 回退 12.8 次，系统冻死在 root"
B-关系动词,SIM-E88,refutes,大审查/混元/bootstrap_自演化推演_第十九轮.md:138,推翻修正 57**：维度是否是稀释剂取决于算子能否协调多维。**真实系统（prompt 改写）应按协调式理解：维度越多越危险
B-关系动词,SIM-R20,supersedes,大审查/混元/bootstrap_自演化推演_第二十轮.md:6,A 轮修正确实有效（唯一正值），但收益很小；注意力门槛被证实远高于 E64 的估计
B-关系动词,SIM-E93,supersedes,大审查/混元/bootstrap_自演化推演_第二十轮.md:50,修正 E64 的门槛**：150 → **300**（judge 可被操纵时的现实值
B-关系动词,SIM-E94,supersedes,大审查/混元/bootstrap_自演化推演_第二十轮.md:68,"v3 与 v4-A 的差距是 0.074** —— 这是本轮最有说服力的数字：在最坏世界里，**A 轮修正把系统从""明确有害""拉到""明确有益"
B-关系动词,SIM-E94,contradicts,大审查/混元/bootstrap_自演化推演_第二十轮.md:70,v4-A 在这里（+0.037）比在 E92 的单一污染世界（+0.0127）**更好**。这看似矛盾，但可解释：E94 的漂移会被盲评+审计抓住（这正是它们设
B-关系动词,SIM-E95,replicates,大审查/混元/bootstrap_自演化推演_第二十轮.md:90,盲评有效**：开启后从 −0.0035 变 +0.0127。这是 E87 在真实世界的复现
B-关系动词,SIM-E95,contradicts,大审查/混元/bootstrap_自演化推演_第二十轮.md:98,tol 与 E55 矛盾**：tol=0.15（宽松）最好 +0.0412，tol=0.04 最差 +0.0127。E55 推荐 0.02–0.06
