claim_id,experiment_id,death_cause,matched_keyword,quote_head
d034846866b10ddd73423874fef002016285cde86ddaffa106b7afc6a8b5f146,REAL-X2c,DC-2 人工构造/地形产物,构造不成立,"v1 构造不成立（否定性登记）**：B 目标""省无关条目""被诊断出结构性平坦——话题=5 条目/主题，top-5 无关数"
f42107cf26234686691bfce68bbe656d6e1cd8b0869ee65d5d12cea04119ccc7,REAL-X3,DC-1 换构造/换引擎未复现,未复现,伪特征危险（E3）在检索域**未复现**，机制诊断清楚
4ebae8da22ad09119fe3885ecee6e4dbe16865d9668979cddb6aea52120f9ab1,REAL-X3,DC-1 换构造/换引擎未复现,未复现,"相关噪声未复现 E57 的""击穿双门""（−50% 级）"
081dfc5da55e448d64220fbfcca98f67f632e1bdeb9e9cf108e10e39be1b18de,REAL-X3,DC-0 未归类,,E80 预告的护栏负交互（宽松准入×伪特征、Pareto×欺骗地形）应作为首要假设
a8f968310482f03a1dfe9838db40a5323450496042f945aa82516efa51b47a55,REAL-X3,DC-3 预注册判据/阈值失误,按预注册口径证伪,**H2 门控必要性** | **✗ 按预注册口径证伪
c6a839ff1589d03de084992482381a0df8e6ce954740d5944aed8c1a562121bd,REAL-X3c,DC-1 换构造/换引擎未复现,未复现,**E80 护栏负交互未复现**：G4 +1.2367 ≥ G2 +1.1867
f20ada90377b3973cdce1fbb78328c077b5430996959ba9ff4f931aae1fc00ba,REAL-X5,DC-1 换构造/换引擎未复现,未触发,w_age 病灶未触发（真实条目全新鲜，定时炸弹→工单前瞻项）；
47d716f6177a06bce8618b0194af525baab47e5e3b98d7f95752a35d353f1e18,REAL-X6c,DC-1 换构造/换引擎未复现,冷启动失败,E32 实测重要度真实库冷启动失败（recall 1.0→0.6），v3.9 工单 W-1 的保守默认值被本轮加固
36f6afdb2c423e26308f9f4709efce5fc4662db917dc5b0de0ade94259a1281d,REAL-X6c,DC-1 换构造/换引擎未复现,冷启动失败,E32 实测重要度在真实小库上冷启动失败（recall 1.0→0.6），
b6efe105158f2d3f3c8ec08f01ecdbe7b3464c60420417467ae6bb82b50160aa,REAL-X6c,DC-1 换构造/换引擎未复现,未在真实,E32 未在真实小库复现，且方向反转**
f26ebde13571be1672aba3b8d80c7858101ff7d6a51ed3d5f8d38df4c15b7110,REAL-X3c,DC-1 换构造/换引擎未复现,未复现,"①E80""护栏负交互""在真引擎上**未复现**——"
5b67c07a059a5fb1dde78e18617d91413323fb1088cb728bc5514f373e77cc34,REAL-X5,DC-1 换构造/换引擎未复现,未复现,w_age 病灶未复现（真实条目全新鲜，属定时炸弹）
28f13d725db287dfcec27528fa95ea179dd69aedc3d286d15a013f224ef942b7,REAL-X3c,DC-1 换构造/换引擎未复现,未复现,E80 检验：G4 − G2 = +0.05 → 护栏负交互未复现**（报告口径为 v4 −0.26 vs v3 −0.
e2e3ce450e02034faf64acf49e8cca0f74bee9e8cfc11f305c599d6fa1ee3d08,PART2-FINAL,DC-3 预注册判据/阈值失误,REFUTED,**REFUTED（4）**：复合变更占优（1轮，−0.0185 反向）；噪声敏感阈值式（2轮，机制单调成立但 8.5%
b50cde4b305d693517941ff6fc2031230d63f023b5438156a1ccbb44a7c73dd1,PART2-H-R1-2,DC-3 预注册判据/阈值失误,REFUTED,| H-R1-2 复合变更(k≥2)平均Δ>单参数(k=1) | pairP=0.4760，diff=−0.0185，p
7183ea7d6c4af02d3d219e8ad0fcff620149761895b6fe7e01dd20dff3d42c1c,PART2-H-R2-1,DC-3 预注册判据/阈值失误,REFUTED,| H-R2-1 噪声敏感性（rate(0.02)<0.05 ∧ rate(0.10)>0.20 ∧ 单调） | rat
3e0634288bda150c987f22bd2698420598f8b6c74f66f3d1f2e1e670aef869db,PART2-H-R10-2,DC-3 预注册判据/阈值失误,REFUTED,| H-R10-2 平坦三区单调排序 | 荒漠−峰顶=0.5333 | **REFUTED** | 0.65 → 0.0
ce723d8789e2d6b36d9c54a89daf428dc4faa0d9c219bf9de2fa2613854ca3d8,PART2-H-R12-1,DC-3 预注册判据/阈值失误,REFUTED,| H-R12-1 扰动带下定律脆弱（红队） | min gap=0.6882 | **REFUTED**（红队失败） 
308e959afd20c2166071797f1be6997562b049cb5523536497c027f341c077bd,META-HANDOVER,DC-4 结构前提不成立,被结构关闭,伪特征注入在检索域被结构关闭（三振，自限定定理候选）
ccbf45117a4adea72614403c1fc9dc00b99aa6de8695fe469ed63359db2c154e,META-HANDOVER,DC-1 换构造/换引擎未复现,未复现,E80 复合负交互未复现 · E7 欺骗地形真引擎仅浅谷
9bf437f946e12a1112c2491fa5967d7c2cc4c153e8be2b7dcc8ce8861fe257af,META-HANDOVER,DC-1 换构造/换引擎未复现,未复现,E32 实测重要度冷启动失败 · E57 相关噪声击穿未复现
22c2be63367dadd1918e517e20ab455ab23da15380b60e955e56dbdf58e712fd,META-HANDOVER,DC-4 结构前提不成立,被否决,filter_zero=1 真实库默认被否决
dabf98719ac79a75ac6e57f3eb619f16d9a82b2b1661e747fda5dc72926b3b72,META-HANDOVER,DC-7 机制零效应/无效,全败,层次化归并/近因加权/1/5 步长/简单恢复/回滚/元参数开放/跨库迁移/逐参独立调优（17 轮 12 条全败）
